,State,Position,District,Candidate,Party,Year Elected,Next Election,Number of Terms in Position,Unopposed in Last Election,DEM Unopposed in Primary,REP Unopposed in Primary
0,New York,Attorney General,0,Eric Tadd Schneiderman,DEM,2014,2018,2,No,No,Yes
1,New York,Comptroller,0,Thomas Dinapoli,DEM,2014,2018,2,No,Yes,Yes
2,New York,Governor,0,Andrew Cuomo,DEM,2014,2018,2,No,Yes,Yes
3,New York,State Representative,1,Fred Thiele Jr.,DEM,2014,2016,2,No,Yes,Yes
4,New York,State Representative,2,Anthony Palumbo,REP,2014,2016,2,No,Yes,No
5,New York,State Representative,3,Dean Murray,REP,2014,2016,1,No,Yes,Yes
6,New York,State Representative,4,Steven Englebright,DEM,2014,2016,8,No,Yes,Yes
7,New York,State Representative,5,Alfred Graf,REP,2014,2016,3,No,No,No
8,New York,State Representative,6,Philip Ramos,DEM,2014,2016,7,No,Yes,Yes
9,New York,State Representative,7,Andrew Garbarino,REP,2014,2016,2,No,Yes,Yes
10,New York,State Representative,8,Michael Fitzpatrick,REP,2014,2016,2,No,Yes,Yes
11,New York,State Representative,9,Joseph Saladino,REP,2014,2016,2,No,Yes,Yes
12,New York,State Representative,10,Chad Lupinacci,REP,2014,2016,2,No,No,No
13,New York,State Representative,11,Kimberly Jean-Pierre,DEM,2014,2016,1,No,Yes,Yes
14,New York,State Representative,12,Andrew Raia,REP,2014,2016,2,Yes,No,Yes
15,New York,State Representative,13,Charles Lavine,DEM,2014,2016,6,No,Yes,Yes
16,New York,State Representative,14,David McDonough,REP,2014,2016,2,No,Yes,Yes
17,New York,State Representative,15,Michael Montesano,REP,2014,2016,3,No,Yes,Yes
18,New York,State Representative,16,Michelle Schimel,DEM,2014,2016,4,No,Yes,Yes
19,New York,State Representative,17,Thomas McKevitt,REP,2014,2016,5,No,No,No
20,New York,State Representative,18,Earlene Hill Hooper,DEM,2014,2016,8,No,No,Yes
21,New York,State Representative,19,Edward Ra,REP,2014,2016,2,No,Yes,Yes
22,New York,State Representative,20,Todd Kaminsky,DEM,2014,2016,1,No,Yes,Yes
23,New York,State Representative,21,Brian Curran,REP,2014,2016,2,No,Yes,Yes
24,New York,State Representative,22,Michaelle Solages,DEM,2014,2016,2,No,Yes,Yes
25,New York,State Representative,23,Phillip Goldfeder,DEM,2014,2016,3,Yes,Yes,Yes
26,New York,State Representative,24,David Weprin,DEM,2014,2016,3,Yes,Yes,Yes
27,New York,State Representative,25,Nily Rozic,DEM,2014,2016,2,Yes,Yes,Yes
