,State,Year,Position,District,Candidate,Party,Actual Vote Share
0,IL,2018,U.S. Representative,1,Bobby Rush,DEM,
1,IL,2018,U.S. Representative,1,Jimmy Lee Tillman II,REP,
2,IL,2018,U.S. Representative,10,Bradley Scott Schneider,DEM,
3,IL,2018,U.S. Representative,10,Douglas Bennett,REP,
4,IL,2018,U.S. Representative,11,George William Foster,DEM,
5,IL,2018,U.S. Representative,11,Dominick Stella,REP,
6,IL,2018,U.S. Representative,12,Michael Bost,REP,
7,IL,2018,U.S. Representative,12,Brendan Kelly,DEM,
8,IL,2018,U.S. Representative,13,Rodney Davis,REP,
9,IL,2018,U.S. Representative,13,Betsy Dirksen Londrigan,DEM,
10,IL,2018,U.S. Representative,14,Randall Mark Hultgren,REP,
11,IL,2018,U.S. Representative,14,Lauren Underwood,DEM,
12,IL,2018,U.S. Representative,15,John Shimkus,REP,
13,IL,2018,U.S. Representative,15,Kevin Gaither,DEM,
14,IL,2018,U.S. Representative,16,Adam Daniel Kinzinger,REP,
15,IL,2018,U.S. Representative,16,Sara Dady,DEM,
16,IL,2018,U.S. Representative,17,Cheri Callahan Bustos,DEM,
17,IL,2018,U.S. Representative,17,William Fawell,REP,
18,IL,2018,U.S. Representative,18,Darin Lahood,REP,
19,IL,2018,U.S. Representative,18,Junius Rodriguez,DEM,
20,IL,2018,U.S. Representative,2,Robin Kelly,DEM,
21,IL,2018,U.S. Representative,2,David Merkle,REP,
22,IL,2018,U.S. Representative,3,Daniel William Lipinski,DEM,
23,IL,2018,U.S. Representative,3,Mateusz Tomkowiak,IND,
24,IL,2018,U.S. Representative,3,Arthur Jones,REP,
25,IL,2018,U.S. Representative,4,Jesus Garcia,DEM,
26,IL,2018,U.S. Representative,4,Mark Wayne Lorch,REP,
27,IL,2018,U.S. Representative,5,Michael Quigley,DEM,
28,IL,2018,U.S. Representative,5,Tom Hanson,REP,
29,IL,2018,U.S. Representative,6,Peter Roskam,REP,
30,IL,2018,U.S. Representative,6,Sean Casten,DEM,
31,IL,2018,U.S. Representative,7,Daniel Davis,DEM,
32,IL,2018,U.S. Representative,7,Craig Cameron,REP,
33,IL,2018,U.S. Representative,8,Raja Krishnamoorthi,DEM,
34,IL,2018,U.S. Representative,8,Jitendra Diganvker,REP,
35,IL,2018,U.S. Representative,9,Janice Schakowsky,DEM,
36,IL,2018,U.S. Representative,9,John Elleson,REP,
