,State,Year,Position,District,Candidate,Party,Actual Vote Share
0,WA,2018,U.S. Representative,1,Suzan Delbene,DEM,
1,WA,2018,U.S. Representative,1,Jeffrey Beeler,REP,
2,WA,2018,U.S. Representative,10,Dennis Heck,DEM,
3,WA,2018,U.S. Representative,10,Joseph Brumbles,REP,
4,WA,2018,U.S. Representative,2,Rick Larsen,DEM,
5,WA,2018,U.S. Representative,2,Brian Luke,LIB,
6,WA,2018,U.S. Representative,3,Jaime Lynn Herrera Beutler,REP,
7,WA,2018,U.S. Representative,3,Carolyn Long,DEM,
8,WA,2018,U.S. Representative,4,Daniel Newhouse,REP,
9,WA,2018,U.S. Representative,4,Christine Carol Brown,DEM,
10,WA,2018,U.S. Representative,5,Cathy McMorris Rodgers,REP,
11,WA,2018,U.S. Representative,5,Lisa Brown,DEM,
12,WA,2018,U.S. Representative,6,Derek Kilmer,DEM,
13,WA,2018,U.S. Representative,6,Douglas Dightman,REP,
14,WA,2018,U.S. Representative,7,Pramila Jayapal,DEM,
15,WA,2018,U.S. Representative,7,Craig Keller,REP,
16,WA,2018,U.S. Representative,8,Dino Rossi,REP,
17,WA,2018,U.S. Representative,8,Kim Schrier,DEM,
18,WA,2018,U.S. Representative,9,Adam Smith,DEM,
19,WA,2018,U.S. Representative,9,Sarah Smith,DEM,
