Candidate,Party,State,Office,Incumbency,Result,Total Money
"LINGLE, LINDA & AIONA JR, JAMES R (DUKE)",REPUBLICAN,HI,GOVERNOR / LIEUTENANT GOVERNOR,Open,Won-General,5757420.71
"HIRONO, MAZIE K & MATSUNAGA, MATT",DEMOCRATIC,HI,GOVERNOR / LIEUTENANT GOVERNOR,Open,Lost-General,2868509.81
"KAWAMOTO, CAL",DEMOCRATIC,HI,SENATE DISTRICT 018,Incumbent,Won-General,222034.47
"TRIMBLE, GORDON M",REPUBLICAN,HI,SENATE DISTRICT 012,Open,Won-General,133610.69
"BUNDA, ROBERT (BOBBY)",DEMOCRATIC,HI,SENATE DISTRICT 022,Incumbent,Won-General,129552.94
"SAKAMOTO, NORMAN",DEMOCRATIC,HI,SENATE DISTRICT 015,Open,Won-General,113654.01
"FUKUNAGA, CAROL",DEMOCRATIC,HI,SENATE DISTRICT 011,Open,Won-General,108148.11
"ADUJA, MELODIE",DEMOCRATIC,HI,SENATE DISTRICT 023,Open,Won-General,106124.64
"HANABUSA, COLLEEN WAKAKO",DEMOCRATIC,HI,SENATE DISTRICT 021,Incumbent,Won-General,92832.50
"MENOR, RON",DEMOCRATIC,HI,SENATE DISTRICT 017,Open,Won-General,79765.00
"BAKER, ROSALYN HESTER (ROZ)",DEMOCRATIC,HI,SENATE DISTRICT 005,Open,Won-General,71355.00
"WATERS, THOMAS (TOMMY)",DEMOCRATIC,HI,HOUSE DISTRICT 051,Challenger,Won-General,56908.84
"HOOSER, GARY L",DEMOCRATIC,HI,SENATE DISTRICT 007,Open,Won-General,54912.01
"TAKAMINE, DWIGHT Y",DEMOCRATIC,HI,HOUSE DISTRICT 001,Incumbent,Won-General,54423.52
"WHALEN, PAUL C",REPUBLICAN,HI,SENATE DISTRICT 003,Open,Won-General,54275.85
"CALDWELL, KIRK",DEMOCRATIC,HI,HOUSE DISTRICT 024,Open,Won-General,53724.12
"TSUTSUI, SHAN S",DEMOCRATIC,HI,SENATE DISTRICT 004,Open,Won-General,53654.71
"SAIKI, SCOTT K",DEMOCRATIC,HI,HOUSE DISTRICT 022,Open,Won-General,53234.13
"KOKUBUN, RUSSELL S",DEMOCRATIC,HI,SENATE DISTRICT 002,Open,Won-General,52181.00
"NISHIMOTO, SCOTT Y",DEMOCRATIC,HI,HOUSE DISTRICT 021,Open,Won-General,48354.31
"CHING, CORINNE WEI LAN",REPUBLICAN,HI,HOUSE DISTRICT 027,Open,Won-General,48038.99
"MARUMOTO, BARBARA C",REPUBLICAN,HI,HOUSE DISTRICT 019,Open,Won-General,44851.38
"HAMAKAWA, ERIC G",DEMOCRATIC,HI,HOUSE DISTRICT 003,Incumbent,Won-General,42063.58
"SHIMABUKURO, MAILE S L",DEMOCRATIC,HI,HOUSE DISTRICT 045,Open,Won-General,41696.69
"NAKASONE, ROBERT",DEMOCRATIC,HI,HOUSE DISTRICT 009,Incumbent,Won-General,41609.63
"LUKE, SYLVIA J",DEMOCRATIC,HI,HOUSE DISTRICT 026,Incumbent,Won-General,40047.75
"SOUKI, JOSEPH M",DEMOCRATIC,HI,HOUSE DISTRICT 008,Incumbent,Won-General,37585.00
"BUKOSKI, KIKA G",REPUBLICAN,HI,HOUSE DISTRICT 012,Open,Won-General,37149.50
"ITO, KEN",DEMOCRATIC,HI,HOUSE DISTRICT 048,Incumbent,Won-General,36282.56
"CHANG, JERRY (LESLIE)",DEMOCRATIC,HI,HOUSE DISTRICT 002,Incumbent,Won-General,35889.00
"SAY, CALVIN K Y",DEMOCRATIC,HI,HOUSE DISTRICT 020,Open,Won-General,34910.00
"TANIGUCHI, BRIAN T",DEMOCRATIC,HI,SENATE DISTRICT 010,Open,Won-General,33112.78
"CHUN OAKLAND, SUZANNE N J",DEMOCRATIC,HI,SENATE DISTRICT 013,Open,Won-General,33088.75
"MOSES, MARK",REPUBLICAN,HI,HOUSE DISTRICT 040,Open,Won-General,32280.47
"MAGAOAY, MICHAEL YADAO",DEMOCRATIC,HI,HOUSE DISTRICT 046,Open,Won-General,32150.46
"ESPERO, WILLIAM C",DEMOCRATIC,HI,SENATE DISTRICT 020,Open,Won-General,31914.37
"ONTAI, GUY P",REPUBLICAN,HI,HOUSE DISTRICT 037,Open,Won-General,31513.56
"KAWAKAMI, BERTHA C",DEMOCRATIC,HI,HOUSE DISTRICT 016,Open,Won-General,31266.76
"SONSON, ALEX M",DEMOCRATIC,HI,HOUSE DISTRICT 035,Open,Won-General,30171.35
"PENDLETON, DAVID A",REPUBLICAN,HI,HOUSE DISTRICT 049,Open,Won-General,29257.00
"TAKUMI, ROY M",DEMOCRATIC,HI,HOUSE DISTRICT 036,Incumbent,Won-General,27067.33
"MEYER, COLLEEN R",REPUBLICAN,HI,HOUSE DISTRICT 047,Open,Won-General,26569.85
"MORITA, HERMINA M",DEMOCRATIC,HI,HOUSE DISTRICT 014,Open,Won-General,25231.79
"HERKES, ROBERT (BOB)",DEMOCRATIC,HI,HOUSE DISTRICT 005,Open,Won-General,24541.89
"YOSHIMURA, JON",DEMOCRATIC,HI,SENATE DISTRICT 012,Open,Lost-General,24485.74
"FOX, GALEN",REPUBLICAN,HI,HOUSE DISTRICT 023,Open,Won-General,23598.89
