Candidate,Party,State,Office,Incumbency,Result,Total Money
"PERRY, JAMES RICHARD (RICK)",REPUBLICAN,TX,GOVERNOR,Incumbent,Won-General,30463302.12
"DEWHURST III, DAVID H",REPUBLICAN,TX,LIEUTENANT GOVERNOR,Incumbent,Won-General,14340852.67
"ABBOTT, GREG",REPUBLICAN,TX,ATTORNEY GENERAL,Incumbent,Won-General,10196519.45
"STRAYHORN, CAROLE KEETON",INDEPENDENT,TX,GOVERNOR,Challenger,Lost-General,9084635.46
"BELL, CHRIS",DEMOCRATIC,TX,GOVERNOR,Challenger,Lost-General,7357864.37
"FRIEDMAN, RICHARD (KINKY)",INDEPENDENT,TX,GOVERNOR,Challenger,Lost-General,6288112.51
"COMBS, SUSAN",REPUBLICAN,TX,COMPTROLLER,Open,Won-General,4476389.58
"CRADDICK, TOM",REPUBLICAN,TX,HOUSE DISTRICT 082,Incumbent,Won-General,2734896.20
"JONES, ELIZABETH AMES",REPUBLICAN,TX,RAILROAD COMMISSIONER,Incumbent,Won-General,2160588.83
"WILLETT, DON",REPUBLICAN,TX,SUPREME COURT-WILLETT SEAT,Incumbent,Won-General,1789219.99
"URESTI, CARLOS I (CHARLIE)",DEMOCRATIC,TX,SENATE DISTRICT 019,Open,Won-General,1741023.62
"WATSON, KIRK",DEMOCRATIC,TX,SENATE DISTRICT 014,Open,Won-General,1562228.98
"WHITMIRE, JOHN",DEMOCRATIC,TX,SENATE DISTRICT 015,Incumbent,Won-General,1553539.70
"STAPLES, D TODD",REPUBLICAN,TX,AGRICULTURE COMMISSIONER,Open,Won-General,1459473.71
"NICHOLS, ROBERT",REPUBLICAN,TX,SENATE DISTRICT 003,Open,Won-General,1415630.99
"AVERITT, B KIP",REPUBLICAN,TX,SENATE DISTRICT 022,Incumbent,Won-General,1286538.06
"WELCH, BILL",REPUBLICAN,TX,HOUSE DISTRICT 047,Open,Lost-General,1286094.16
"NELSON, JANE",REPUBLICAN,TX,SENATE DISTRICT 012,Incumbent,Won-General,1214404.14
"JANEK, KYLE",REPUBLICAN,TX,SENATE DISTRICT 017,Incumbent,Won-General,1206413.94
"WENTWORTH, EARL JEFFREY (JEFF)",REPUBLICAN,TX,SENATE DISTRICT 025,Incumbent,Won-General,1175580.15
"SHAPIRO, FLORENCE (LYNN)",REPUBLICAN,TX,SENATE DISTRICT 008,Incumbent,Won-General,1163338.13
"PATRICK, DAN GOEB",REPUBLICAN,TX,SENATE DISTRICT 007,Open,Won-General,1154550.20
"SHAPLEIGH, ELIOT",DEMOCRATIC,TX,SENATE DISTRICT 029,Incumbent,Won-General,1076408.70
"DEUELL, ROBERT F",REPUBLICAN,TX,SENATE DISTRICT 002,Incumbent,Won-General,1046751.36
"OGDEN, STEVE D",REPUBLICAN,TX,SENATE DISTRICT 005,Incumbent,Won-General,1023829.39
"PATTERSON, JERRY",REPUBLICAN,TX,COMMISSIONER OF GENERAL LAND OFFICE,Incumbent,Won-General,1011359.92
"COHEN, ELLEN",DEMOCRATIC,TX,HOUSE DISTRICT 134,Challenger,Won-General,1009302.79
"MARGO, DONALD R (DEE)",REPUBLICAN,TX,SENATE DISTRICT 029,Challenger,Lost-General,1008810.65
"SEAMAN, EUGENE J",REPUBLICAN,TX,HOUSE DISTRICT 032,Incumbent,Lost-General,1000009.97
"ELLIS, RODNEY",DEMOCRATIC,TX,SENATE DISTRICT 013,Incumbent,Won-General,972122.28
"RAYMOND, RICHARD",DEMOCRATIC,TX,HOUSE DISTRICT 042,Incumbent,Won-General,910325.27
"ROSE, PATRICK M",DEMOCRATIC,TX,HOUSE DISTRICT 045,Incumbent,Won-General,900203.43
"MILES, BORRIS L",DEMOCRATIC,TX,HOUSE DISTRICT 146,Open,Won-General,891677.00
"LANDTROOP, JIM",REPUBLICAN,TX,HOUSE DISTRICT 085,Open,Lost-General,887089.70
"DURRETT, LARRY K",REPUBLICAN,TX,HOUSE DISTRICT 011,Challenger,Lost-General,860378.91
"HEGAR JR, GLENN",REPUBLICAN,TX,SENATE DISTRICT 018,Open,Won-General,852049.87
"WONG, MARTHA",REPUBLICAN,TX,HOUSE DISTRICT 134,Incumbent,Lost-General,832448.70
"PITTS, JIM",REPUBLICAN,TX,HOUSE DISTRICT 010,Incumbent,Won-General,824686.37
"BENTZIN, BEN",REPUBLICAN,TX,HOUSE DISTRICT 048,Open,Withdrew-General,819668.55
"ANTUNA, GEORGE",REPUBLICAN,TX,HOUSE DISTRICT 118,Open,Lost-General,783844.01
"GARCIA, JUAN M",DEMOCRATIC,TX,HOUSE DISTRICT 032,Challenger,Won-General,774881.72
"GEREN, CHARLIE",REPUBLICAN,TX,HOUSE DISTRICT 099,Incumbent,Won-General,699429.33
"HOPSON, CHARLES L (CHUCK)",DEMOCRATIC,TX,HOUSE DISTRICT 011,Incumbent,Won-General,680866.57
