Candidate,Party,State,Office,Incumbency,Result,Total Money
"DANIELS, MITCH & SKILLMAN, BECKY",REPUBLICAN,IN,GOVERNOR / LIEUTENANT GOVERNOR,Incumbent,Won-General,21560336.51
"THOMPSON, JILL LONG & OXLEY, DENNIE RAY",DEMOCRATIC,IN,GOVERNOR / LIEUTENANT GOVERNOR,Challenger,Lost-General,5353752.57
"PENCE, LINDA",DEMOCRATIC,IN,ATTORNEY GENERAL,Open,Lost-General,1439844.69
"ZOELLER, GREG",REPUBLICAN,IN,ATTORNEY GENERAL,Open,Won-General,1250275.28
"BAUER, B PATRICK",DEMOCRATIC,IN,HOUSE DISTRICT 006,Incumbent,Won-General,1089469.12
"BOSMA, BRIAN C",REPUBLICAN,IN,HOUSE DISTRICT 088,Incumbent,Won-General,634755.00
"SUTTON, MYRON M",DEMOCRATIC,IN,HOUSE DISTRICT 015,Challenger,Lost-General,545278.02
"BARNES, JOHN",DEMOCRATIC,IN,HOUSE DISTRICT 089,Open,Won-General,522441.85
"SWATTS, CHRIS J",REPUBLICAN,IN,HOUSE DISTRICT 089,Open,Lost-General,503413.34
"SULLIVAN, MARY ANN",DEMOCRATIC,IN,HOUSE DISTRICT 097,Challenger,Won-General,481890.25
"LONG, DAVID C",REPUBLICAN,IN,SENATE DISTRICT 016,Incumbent,Won-General,480839.74
"POLLES, JOHN",DEMOCRATIC,IN,HOUSE DISTRICT 026,Open,Lost-General,466452.16
"MESSMER, MARK B",REPUBLICAN,IN,HOUSE DISTRICT 063,Open,Won-General,429549.39
"KENLEY, HOWARD (LUKE)",REPUBLICAN,IN,SENATE DISTRICT 020,Incumbent,Won-General,427989.27
"MICHAEL, NANCY A",DEMOCRATIC,IN,HOUSE DISTRICT 044,Challenger,Won-General,409634.99
"MARSHALL, RICK",DEMOCRATIC,IN,HOUSE DISTRICT 045,Challenger,Lost-General,409256.28
"SCHEMENAUR, ANDY",DEMOCRATIC,IN,HOUSE DISTRICT 033,Challenger,Lost-General,394334.51
"TRUITT, RANDY",REPUBLICAN,IN,HOUSE DISTRICT 026,Open,Won-General,391896.57
"RESKE, SCOTT E",DEMOCRATIC,IN,HOUSE DISTRICT 037,Incumbent,Won-General,389227.00
"CHARBONNEAU, ED",REPUBLICAN,IN,SENATE DISTRICT 005,Incumbent,Won-General,377189.34
"LEHE, DONALD J",REPUBLICAN,IN,HOUSE DISTRICT 015,Incumbent,Won-General,369342.66
"PEARSON, JOE",DEMOCRATIC,IN,HOUSE DISTRICT 031,Challenger,Won-General,357343.41
"ELROD, JON",REPUBLICAN,IN,HOUSE DISTRICT 097,Incumbent,Lost-General,327791.06
"STILWELL, RUSELL L",DEMOCRATIC,IN,HOUSE DISTRICT 074,Incumbent,Won-General,310272.08
"DELANEY, EDWARD O",DEMOCRATIC,IN,HOUSE DISTRICT 086,Open,Won-General,310189.32
