Candidate,Party,State,Office,Incumbency,Result,Total Money
"STRICKLAND, TED & BROWN, YVETTE MCGEE",DEMOCRATIC,OH,GOVERNOR / LIEUTENANT GOVERNOR,Incumbent,Lost-General,19299093.51
"KASICH, JOHN R & TAYLOR, MARY",REPUBLICAN,OH,GOVERNOR / LIEUTENANT GOVERNOR,Challenger,Won-General,18323285.51
"PORTMAN, ROBERT J (ROB)",REPUBLICAN,OH,US SENATE DISTRICT OH SW-CLASS III,Open,Won-General,17129414.54
"BOEHNER, JOHN A",REPUBLICAN,OH,US HOUSE DISTRICT OH 008,Incumbent,Won-General,10505496.29
"FISHER, LEE",DEMOCRATIC,OH,US SENATE DISTRICT OH SW-CLASS III,Open,Lost-General,6260789.55
"DEWINE, MIKE",REPUBLICAN,OH,ATTORNEY GENERAL,Challenger,Won-General,6206359.08
"HUSTED, JON A",REPUBLICAN,OH,SECRETARY OF STATE,Open,Won-General,5502618.82
"CORDRAY, RICHARD A",DEMOCRATIC,OH,ATTORNEY GENERAL,Incumbent,Lost-General,5073944.57
"MANDEL, JOSH",REPUBLICAN,OH,TREASURER,Challenger,Won-General,4459008.08
"TIBERI, PATRICK J",REPUBLICAN,OH,US HOUSE DISTRICT OH 012,Incumbent,Won-General,3086619.17
"STIVERS, STEVEN (STEVE)",REPUBLICAN,OH,US HOUSE DISTRICT OH 015,Challenger,Won-General,2759133.13
"PEPPER, DAVID ANDREW",DEMOCRATIC,OH,AUDITOR,Open,Lost-General,2717321.44
"KILROY, MARY JO",DEMOCRATIC,OH,US HOUSE DISTRICT OH 015,Incumbent,Lost-General,2674173.08
"SPACE, ZACHARY T",DEMOCRATIC,OH,US HOUSE DISTRICT OH 018,Incumbent,Lost-General,2650932.69
"RENACCI, JAMES B (JIM)",REPUBLICAN,OH,US HOUSE DISTRICT OH 016,Challenger,Won-General,2549812.85
"BUDISH, ARMOND",DEMOCRATIC,OH,HOUSE DISTRICT 008,Incumbent,Won-General,2279577.61
"GANLEY, THOMAS D",REPUBLICAN,OH,US HOUSE DISTRICT OH 013,Challenger,Lost-General,2151426.76
"BOCCIERI, JOHN A",DEMOCRATIC,OH,US HOUSE DISTRICT OH 016,Incumbent,Lost-General,2038567.76
"IOTT, RICHARD BRADLEY",REPUBLICAN,OH,US HOUSE DISTRICT OH 009,Challenger,Lost-General,1974136.52
"DRIEHAUS, STEVEN L",DEMOCRATIC,OH,US HOUSE DISTRICT OH 001,Incumbent,Lost-General,1922557.40
"BOYCE, KEVIN L",DEMOCRATIC,OH,TREASURER,Incumbent,Lost-General,1848334.57
"SUTTON, BETTY",DEMOCRATIC,OH,US HOUSE DISTRICT OH 013,Incumbent,Won-General,1778136.03
"CHABOT, STEVEN J",REPUBLICAN,OH,US HOUSE DISTRICT OH 001,Challenger,Won-General,1741260.83
"LAROSE, FRANK",REPUBLICAN,OH,SENATE DISTRICT 027,Open,Won-General,1683252.82
"BROOKS, PAULA L",DEMOCRATIC,OH,US HOUSE DISTRICT OH 012,Challenger,Lost-General,1443027.25
"LATOURETTE, STEVEN C",REPUBLICAN,OH,US HOUSE DISTRICT OH 014,Incumbent,Won-General,1286669.05
"MANNING, GAYLE L",REPUBLICAN,OH,SENATE DISTRICT 013,Challenger,Won-General,1281515.50
"YOST, DAVID A",REPUBLICAN,OH,AUDITOR,Open,Won-General,1278339.45
"GIBBS, ROBERT BRIAN",REPUBLICAN,OH,US HOUSE DISTRICT OH 018,Challenger,Won-General,1140237.29
"SZOLLOSI, MATTHEW A",DEMOCRATIC,OH,HOUSE DISTRICT 049,Incumbent,Won-General,1121883.24
"PRYOR, RAYMOND ALLEN",DEMOCRATIC,OH,HOUSE DISTRICT 085,Incumbent,Lost-General,1060765.31
"WILSON JR, CHARLIE A",DEMOCRATIC,OH,US HOUSE DISTRICT OH 006,Incumbent,Lost-General,1057340.50
"DODD, DANIEL F",DEMOCRATIC,OH,HOUSE DISTRICT 091,Incumbent,Lost-General,1052536.79
"RYAN, TIMOTHY J",DEMOCRATIC,OH,US HOUSE DISTRICT OH 017,Incumbent,Won-General,1051880.42
"JONES, SHANNON",REPUBLICAN,OH,SENATE DISTRICT 007,Incumbent,Won-General,1044221.82
"OSHAUGHNESSY, MARYELLEN",DEMOCRATIC,OH,SECRETARY OF STATE,Open,Lost-General,1041994.66
"SCHMIDT, JEAN",REPUBLICAN,OH,US HOUSE DISTRICT OH 002,Incumbent,Won-General,1039302.02
"BATCHELDER III, WILLIAM G",REPUBLICAN,OH,HOUSE DISTRICT 069,Incumbent,Won-General,1038605.09
"MORAN, MIKE",DEMOCRATIC,OH,HOUSE DISTRICT 042,Incumbent,Lost-General,943812.95
"BEAGLE, BILL",REPUBLICAN,OH,SENATE DISTRICT 005,Challenger,Won-General,926640.63
"OCONNOR, MAUREEN",NONPARTISAN,OH,SUPREME COURT-CHIEF JUSTICE,Open,Won-General,895037.99
"KUCINICH, DENNIS J",DEMOCRATIC,OH,US HOUSE DISTRICT OH 010,Incumbent,Won-General,886493.18
"ROBINSON, DAVID W",DEMOCRATIC,OH,HOUSE DISTRICT 021,Open,Lost-General,882664.15
"LANZINGER, JUDITH",NONPARTISAN,OH,SUPREME COURT-LANZINGER SEAT,Incumbent,Won-General,879464.60
"JORDAN, JAMES D",REPUBLICAN,OH,US HOUSE DISTRICT OH 004,Incumbent,Won-General,836100.04
"GOYAL, JAY P",DEMOCRATIC,OH,HOUSE DISTRICT 073,Incumbent,Won-General,800198.83
"CARNEY, JOHN PATRICK",DEMOCRATIC,OH,HOUSE DISTRICT 022,Incumbent,Won-General,789494.33
"TURNER, MIKE",REPUBLICAN,OH,US HOUSE DISTRICT OH 003,Incumbent,Won-General,753103.19
"PILLICH, CONNIE",DEMOCRATIC,OH,HOUSE DISTRICT 028,Incumbent,Won-General,750897.97
"BACON, KEVIN",REPUBLICAN,OH,SENATE DISTRICT 003,Open,Won-General,738071.12
"AUSTRIA, STEVE C",REPUBLICAN,OH,US HOUSE DISTRICT OH 007,Incumbent,Won-General,722981.36
"SCHNEIDER, MARK A",DEMOCRATIC,OH,HOUSE DISTRICT 063,Incumbent,Lost-General,712757.01
"GARLAND, NANCY J",DEMOCRATIC,OH,HOUSE DISTRICT 020,Incumbent,Won-General,701200.46
"SYKES, VERNON",DEMOCRATIC,OH,HOUSE DISTRICT 044,Incumbent,Won-General,678197.19
"JOHNSON, BILL",REPUBLICAN,OH,US HOUSE DISTRICT OH 006,Challenger,Won-General,671347.98
"PETERSON, BOB",REPUBLICAN,OH,HOUSE DISTRICT 085,Challenger,Won-General,668695.64
"CARLE, MATT",REPUBLICAN,OH,HOUSE DISTRICT 020,Challenger,Lost-General,651377.46
"DUFFEY, MIKE",REPUBLICAN,OH,HOUSE DISTRICT 021,Open,Won-General,636072.57
"DOVILLA, MICHAEL D (MIKE)",REPUBLICAN,OH,HOUSE DISTRICT 018,Challenger,Won-General,626386.12
"WILSON, MIKE",REPUBLICAN,OH,HOUSE DISTRICT 028,Challenger,Lost-General,614417.67
"KAPTUR, MARCY",DEMOCRATIC,OH,US HOUSE DISTRICT OH 009,Incumbent,Won-General,600282.30
"DYER, STEPHEN",DEMOCRATIC,OH,HOUSE DISTRICT 043,Incumbent,Lost-General,599212.89
