Candidate,Party,State,Office,Incumbency,Result,Total Money
"ORANGE, VINCENT",DEMOCRATIC,DC,CITY COUNCIL DISTRICT AT LARGE,Incumbent,Won-General,625728.00
"EVANS, JACK",DEMOCRATIC,DC,CITY COUNCIL DISTRICT 002,Incumbent,Won-General,369460.12
"HOLMES NORTON, ELEANOR",DEMOCRATIC,DC,US HOUSE DELEGATE DISTRICT DC 001,Incumbent,Won-General,326050.44
"MENDELSON, PHIL",DEMOCRATIC,DC,CITY COUNCIL DISTRICT AT LARGE-CHAIR,Incumbent,Won-General,264282.55
"BROWN, MICHAEL A",INDEPENDENT,DC,CITY COUNCIL DISTRICT AT LARGE,Incumbent,Lost-General,243042.23
"BARRY JR, MARION S",DEMOCRATIC,DC,CITY COUNCIL DISTRICT 008,Open,Won-General,222801.85
"ALEXANDER, YVETTE M",DEMOCRATIC,DC,CITY COUNCIL DISTRICT 007,Incumbent,Won-General,206317.00
"GROSSO, DAVID",INDEPENDENT,DC,CITY COUNCIL DISTRICT AT LARGE,Challenger,Won-General,181565.99
"MCDUFFIE, KENYAN R",DEMOCRATIC,DC,CITY COUNCIL DISTRICT 005,Open,Won-General,139170.99
"HUNTER, DELANO",DEMOCRATIC,DC,CITY COUNCIL DISTRICT 005,Open,Lost-General,55149.07
"WILDS, FRANKLIN",DEMOCRATIC,DC,CITY COUNCIL DISTRICT 005,Open,Lost-General,54165.00
"HUBBARD, DREW E",DEMOCRATIC,DC,CITY COUNCIL DISTRICT 005,Open,Lost-General,47699.57
"BEATTY, MARY BROOKS",REPUBLICAN,DC,CITY COUNCIL DISTRICT AT LARGE,Challenger,Lost-General,43054.13
"SWAIN JR, LEON J",INDEPENDENT,DC,CITY COUNCIL DISTRICT AT LARGE,Challenger,Lost-General,30271.00
"MAGNUS, RONALD (RON) L",DEMOCRATIC,DC,CITY COUNCIL DISTRICT 005,Open,Lost-General,21463.43
"DAY, TIMOTHY (TIM)",REPUBLICAN,DC,CITY COUNCIL DISTRICT 005,Open,Lost-General,19994.00
"MOTEN, RON",REPUBLICAN,DC,CITY COUNCIL DISTRICT 007,Challenger,Lost-General,19716.85
"JACOBSON, JACK",NONPARTISAN,DC,SCHOOL BOARD DISTRICT 002,Open,Won-General,19556.00
"PANNELL, PHILIP",NONPARTISAN,DC,SCHOOL BOARD DISTRICT 008,Challenger,Lost-General,14945.39
"RIMENSNYDER, NELSON FREDERICK",REPUBLICAN,DC,US SENATE SHADOW,Challenger,Lost-General,7613.00
"ABRAHAM, JAUHAR",INDEPENDENT,DC,CITY COUNCIL DISTRICT 008,Open,Lost-General,6760.00
"ZAPATA, RAENELLE (RAE)",DEMOCRATIC,DC,CITY COUNCIL DISTRICT 005,Open,Lost-General,6260.00
"LORD, MARY",NONPARTISAN,DC,SCHOOL BOARD,Open,Won-General,6126.00
"MAJORS, BRUCE",LIBERTARIAN,DC,US HOUSE DELEGATE DISTRICT DC 001,Challenger,Lost-General,5966.00
"BROWN, MICHAEL D (MIKE)",DEMOCRATIC,DC,US SENATE SHADOW,Incumbent,Won-General,4861.75
"HENDERSON, KATHY",DEMOCRATIC,DC,CITY COUNCIL DISTRICT 005,Open,Lost-General,2578.60
"CHEEKS, JOHN C",NOP,DC,CITY COUNCIL DISTRICT 005,Open,Lost-General,2556.44
"WHITE SR, TRAYON (TRAY)",NONPARTISAN,DC,SCHOOL BOARD DISTRICT 008,Incumbent,Won-General,2210.00
"TUCKER, MARVIN",NONPARTISAN,DC,SCHOOL BOARD,Open,Lost-General,875.00
"COOPER, A J",INDEPENDENT,DC,CITY COUNCIL DISTRICT AT LARGE,Challenger,Lost-General,553.00
"MARSHALL, RUTH E",DEMOCRATIC,DC,CITY COUNCIL DISTRICT 005,Open,Lost-General,505.00
"GARDNER, SHELLY",DEMOCRATIC,DC,CITY COUNCIL DISTRICT 005,Open,Lost-General,-400.00
"BROADNAX, AMANDA",DEMOCRATIC,DC,CITY COUNCIL DISTRICT 005,Open,Lost-General,0.00
WILCOX ANN C,STATEHOOD GREEN,DC,CITY COUNCIL DISTRICT AT LARGE,Challenger,Lost-General,0.00
"GURLEY, CALVIN H",DEMOCRATIC,DC,CITY COUNCIL DISTRICT AT LARGE-CHAIR,Challenger,Lost-General,0.00
"WILLIAMS, KAREN",NONPARTISAN,DC,SCHOOL BOARD DISTRICT 007,Challenger,Won-General,0.00
"MATTHEWS, ROBERT L",NONPARTISAN,DC,SCHOOL BOARD DISTRICT 007,Challenger,Lost-General,0.00
"BENNETT-FLEMING, NATE",DEMOCRATIC,DC,US HOUSE SHADOW,Open,Won-General,0.00
"AIKIN, G LEE",STATEHOOD GREEN,DC,US HOUSE SHADOW,Open,Lost-General,0.00
"SCHWARTZMAN, DAVID",STATEHOOD GREEN,DC,US SENATE SHADOW,Challenger,Lost-General,0.00
"JOHNSON, VILLAREAL (VJ)",NONPARTISAN,DC,SCHOOL BOARD DISTRICT 007,Challenger,Lost-General,0.00
"BOWSER, MURIEL E",DEMOCRATIC,DC,CITY COUNCIL DISTRICT 004,Incumbent,Won-General,0.00
"ANDERSON, D KAMILI",NONPARTISAN,DC,SCHOOL BOARD DISTRICT 004,Incumbent,Won-General,0.00
"DOUGLAS, DOROTHY",NONPARTISAN,DC,SCHOOL BOARD DISTRICT 007,Incumbent,Lost-General,0.00
"STRACUZZI, NATALE NICOLA (LINO)",STATEHOOD GREEN,DC,US HOUSE DELEGATE DISTRICT DC 001,Challenger,Lost-General,0.00
