Candidate,Party,State,Office,Incumbency,Result,Total Money
"SIMPSON, MICHAEL KEITH (MIKE)",REPUBLICAN,ID,US HOUSE DISTRICT ID 002,Incumbent,Won-General,1195721.50
"LABRADOR, RAUL RAFAEL",REPUBLICAN,ID,US HOUSE DISTRICT ID 001,Incumbent,Won-General,821237.39
"LEFAVOUR, NICOLE",DEMOCRATIC,ID,US HOUSE DISTRICT ID 002,Challenger,Lost-General,346496.86
"RICHARDSON, BETTY",DEMOCRATIC,ID,SENATE DISTRICT 015,Open,Lost-General,108471.39
"MARTIN, FRED",REPUBLICAN,ID,SENATE DISTRICT 015,Open,Won-General,106475.05
"TORYANSKI, MITCHELL E (MITCH)",REPUBLICAN,ID,SENATE DISTRICT 018,Incumbent,Lost-General,85525.12
"FARRIS, JIMMY",DEMOCRATIC,ID,US HOUSE DISTRICT ID 001,Challenger,Lost-General,81967.24
"RUSCHE, JOHN M",DEMOCRATIC,ID,HOUSE DISTRICT 006-POSITION B,Incumbent,Won-General,79298.00
"KEOUGH, SHAWN",REPUBLICAN,ID,SENATE DISTRICT 001,Incumbent,Won-General,75942.83
"CAMERON, DEAN L",REPUBLICAN,ID,SENATE DISTRICT 027,Incumbent,Won-General,75183.99
"WARD-ENGELKING, JANIE",DEMOCRATIC,ID,HOUSE DISTRICT 018-POSITION A,Challenger,Won-General,67024.37
"BRACKETT, BERT",REPUBLICAN,ID,SENATE DISTRICT 023,Incumbent,Won-General,66425.53
"LODGE, PATTI ANNE",REPUBLICAN,ID,SENATE DISTRICT 011,Incumbent,Won-General,66029.48
"ANDERSON, ERIC",REPUBLICAN,ID,HOUSE DISTRICT 001-POSITION A,Incumbent,Won-General,62058.48
"WINDER, CHARLES L (CHUCK)",REPUBLICAN,ID,SENATE DISTRICT 020,Incumbent,Won-General,61662.38
"GUTHRIE, JIM K",REPUBLICAN,ID,SENATE DISTRICT 028,Open,Won-General,58975.00
"DAVIS, BART M",REPUBLICAN,ID,SENATE DISTRICT 033,Incumbent,Won-General,57450.00
"WERK, ELLIOT",DEMOCRATIC,ID,SENATE DISTRICT 017,Incumbent,Won-General,56673.00
"BEDKE, SCOTT C",REPUBLICAN,ID,HOUSE DISTRICT 027-POSITION A,Incumbent,Won-General,56374.99
"MCKENZIE, CURTIS",REPUBLICAN,ID,SENATE DISTRICT 013,Incumbent,Won-General,55374.48
"JORDAN, PAULETTE E",DEMOCRATIC,ID,HOUSE DISTRICT 005-POSITION A,Open,Lost-General,54371.67
"JOHNSON, DANIEL G (DAN)",REPUBLICAN,ID,SENATE DISTRICT 006,Open,Won-General,50031.00
"DENNEY, LAWERENCE E",REPUBLICAN,ID,HOUSE DISTRICT 009-POSITION A,Incumbent,Won-General,47494.25
"ESKRIDGE, GEORGE E",REPUBLICAN,ID,HOUSE DISTRICT 001-POSITION B,Incumbent,Won-General,46592.48
"BERCH, STEVE ALAN",DEMOCRATIC,ID,HOUSE DISTRICT 015-POSITION B,Open,Lost-General,46352.83
"HENDERSON, FRANK",REPUBLICAN,ID,HOUSE DISTRICT 003-POSITION B,Incumbent,Won-General,46200.19
"GOEDDE, JOHN W",REPUBLICAN,ID,SENATE DISTRICT 004,Incumbent,Won-General,44875.00
"BUCKNER-WEBB, CHERIE",DEMOCRATIC,ID,SENATE DISTRICT 019,Open,Won-General,43867.26
"LAKEY, TODD M",REPUBLICAN,ID,SENATE DISTRICT 012,Open,Won-General,43655.92
"STEVENSON, THYRA K",REPUBLICAN,ID,HOUSE DISTRICT 006-POSITION A,Open,Won-General,42438.25
"HAGEDORN, MARV",REPUBLICAN,ID,SENATE DISTRICT 014,Open,Won-General,42224.90
"WOOD, FRED",REPUBLICAN,ID,HOUSE DISTRICT 027-POSITION B,Incumbent,Won-General,41926.19
"PALMER, JOE A",REPUBLICAN,ID,HOUSE DISTRICT 020-POSITION A,Incumbent,Won-General,41850.00
"SCHMIDT, DAN J",DEMOCRATIC,ID,SENATE DISTRICT 005,Incumbent,Won-General,40880.69
"HILL, H BRENT",REPUBLICAN,ID,SENATE DISTRICT 034,Incumbent,Won-General,40454.93
"MORSE, ED",REPUBLICAN,ID,HOUSE DISTRICT 002-POSITION B,Open,Won-General,39598.04
"CHEW, SUE",DEMOCRATIC,ID,HOUSE DISTRICT 017-POSITION B,Incumbent,Won-General,37799.50
"RICE, JAMES E (JIM)",REPUBLICAN,ID,SENATE DISTRICT 010,Open,Won-General,37669.48
"MOYLE, MIKE",REPUBLICAN,ID,HOUSE DISTRICT 014-POSITION A,Incumbent,Won-General,37450.00
"MALEK, LUCAS (LUKE)",REPUBLICAN,ID,HOUSE DISTRICT 004-POSITION A,Open,Won-General,36816.45
"DURST, BRANDEN J",DEMOCRATIC,ID,SENATE DISTRICT 018,Challenger,Won-General,35873.26
"BATT, GAYLE L",REPUBLICAN,ID,HOUSE DISTRICT 011-POSITION A,Open,Won-General,34596.13
"KING, PHYLIS K",DEMOCRATIC,ID,HOUSE DISTRICT 018-POSITION B,Incumbent,Won-General,34465.00
"VICK, STEVE",REPUBLICAN,ID,SENATE DISTRICT 002,Incumbent,Won-General,33924.26
"ERPELDING, MATHEW",DEMOCRATIC,ID,HOUSE DISTRICT 019-POSITION A,Open,Won-General,33893.91
"THOMPSON, JEFFREY D",REPUBLICAN,ID,HOUSE DISTRICT 030-POSITION A,Incumbent,Won-General,33715.00
"CRANE, BRENT J",REPUBLICAN,ID,HOUSE DISTRICT 013-POSITION A,Incumbent,Won-General,33317.88
"ROBERTS, KEN",REPUBLICAN,ID,HOUSE DISTRICT 008-POSITION A,Incumbent,Withdrew-General,33075.00
"ANDERST, ROBERT E",REPUBLICAN,ID,HOUSE DISTRICT 012-POSITION A,Open,Won-General,32844.48
"PERRY, CHRISTY",REPUBLICAN,ID,HOUSE DISTRICT 011-POSITION B,Incumbent,Won-General,32594.48
