Candidate,Party,State,Office,Incumbency,Result,Total Money
"MARTINEZ, SUSANA & SANCHEZ, JOHN A",REPUBLICAN,NM,GOVERNOR / LIEUTENANT GOVERNOR,Incumbent,Won-General,8529190.41
"UDALL, TOM S",DEMOCRATIC,NM,US SENATE DISTRICT NM SW-CLASS II,Incumbent,Won-General,8286175.92
"WEH, ALLEN E",REPUBLICAN,NM,US SENATE DISTRICT NM SW-CLASS II,Challenger,Lost-General,3559184.55
"PEARCE, STEVAN E (STEVE)",REPUBLICAN,NM,US HOUSE DISTRICT NM 002,Incumbent,Won-General,2058494.70
"KING, GARY KENNETH & HAALAND, DEBRA A",DEMOCRATIC,NM,GOVERNOR / LIEUTENANT GOVERNOR,Challenger,Lost-General,2010337.10
"LARA, ROXANNE (ROCKY)",DEMOCRATIC,NM,US HOUSE DISTRICT NM 002,Challenger,Lost-General,1437931.75
"LUJAN, BEN RAY",DEMOCRATIC,NM,US HOUSE DISTRICT NM 003,Incumbent,Won-General,1255394.59
"BALDERAS, HECTOR H",DEMOCRATIC,NM,ATTORNEY GENERAL,Open,Won-General,1181805.99
"LUJAN GRISHAM, MICHELLE",DEMOCRATIC,NM,US HOUSE DISTRICT NM 001,Incumbent,Won-General,793269.44
"TOULOUSE OLIVER, MAGGIE",DEMOCRATIC,NM,SECRETARY OF STATE,Challenger,Lost-General,624003.13
"KELLER, TIMOTHY M",DEMOCRATIC,NM,AUDITOR,Open,Won-General,467127.19
"DUNN, AUBREY",REPUBLICAN,NM,COMMISSIONER OF PUBLIC LANDS,Challenger,Won-General,370900.00
"FRESE, MICHAEL HARRY",REPUBLICAN,NM,US HOUSE DISTRICT NM 001,Challenger,Lost-General,343505.00
"DURAN, DIANNA J",REPUBLICAN,NM,SECRETARY OF STATE,Incumbent,Won-General,339755.72
"RIEDEL, SUSAN M",REPUBLICAN,NM,ATTORNEY GENERAL,Open,Lost-General,339633.69
"POWELL, RAY BENNETT",DEMOCRATIC,NM,COMMISSIONER OF PUBLIC LANDS,Incumbent,Lost-General,271086.29
"EICHENBERG, TIMOTHY (TIM)",DEMOCRATIC,NM,TREASURER,Open,Won-General,266118.07
"GENTRY, NATHANIEL (NATE)",REPUBLICAN,NM,HOUSE DISTRICT 030,Incumbent,Won-General,249438.14
"KIERNAN, KERRY C",DEMOCRATIC,NM,APPELLATE COURT-HANISEE SEAT,Challenger,Lost-General,242349.78
"HANISEE, J MILES",REPUBLICAN,NM,APPELLATE COURT-HANISEE SEAT,Incumbent,Won-General,220776.00
"THOMSON, ELIZABETH L",DEMOCRATIC,NM,HOUSE DISTRICT 024,Incumbent,Lost-General,209950.20
"KANE, EMILY A",DEMOCRATIC,NM,HOUSE DISTRICT 015,Incumbent,Lost-General,207398.61
"MAESTAS BARNES, SARAH",REPUBLICAN,NM,HOUSE DISTRICT 015,Challenger,Won-General,159370.77
"RICHARD, STEPHANIE GARCIA",DEMOCRATIC,NM,HOUSE DISTRICT 043,Incumbent,Won-General,149377.62
