Candidate,Party,State,Office,Incumbency,Result,Total Money
"WOLF, THOMAS W (TOM) & STACK III, MICHAEL J (MIKE)",DEMOCRATIC,PA,GOVERNOR / LIEUTENANT GOVERNOR,Challenger,Won-General,36303191.31
"CORBETT, THOMAS & CAWLEY, JIM",REPUBLICAN,PA,GOVERNOR / LIEUTENANT GOVERNOR,Incumbent,Lost-General,33975527.34
"SHUSTER, BILL",REPUBLICAN,PA,US HOUSE DISTRICT PA 009,Incumbent,Won-General,4069164.73
"MCGARRIGLE, THOMAS J",REPUBLICAN,PA,SENATE DISTRICT 026,Open,Won-General,3177500.70
"FITZPATRICK, MICHAEL G",REPUBLICAN,PA,US HOUSE DISTRICT PA 008,Incumbent,Won-General,3080444.23
"KANE SR, JOHN I",DEMOCRATIC,PA,SENATE DISTRICT 026,Open,Lost-General,2691128.04
"ROTHFUS, KEITH JAMES",REPUBLICAN,PA,US HOUSE DISTRICT PA 012,Incumbent,Won-General,2209519.15
"MEEHAN, PATRICK L",REPUBLICAN,PA,US HOUSE DISTRICT PA 007,Incumbent,Won-General,1978245.00
"STEFANO, PATRICK J",REPUBLICAN,PA,SENATE DISTRICT 032,Open,Won-General,1973718.90
"CORMAN III, JACOB D (JAKE)",REPUBLICAN,PA,SENATE DISTRICT 034,Incumbent,Won-General,1828125.83
"MURPHY, TIMOTHY F",REPUBLICAN,PA,US HOUSE DISTRICT PA 018,Incumbent,Won-General,1814737.33
"COSTELLO, RYAN A",REPUBLICAN,PA,US HOUSE DISTRICT PA 006,Open,Won-General,1766374.01
"DENT, CHARLES W (CHARLIE)",REPUBLICAN,PA,US HOUSE DISTRICT PA 015,Incumbent,Won-General,1760506.07
"TOMLINSON, ROBERT (TOMMY)",REPUBLICAN,PA,SENATE DISTRICT 006,Incumbent,Won-General,1631695.02
"WILLIAMS, ANTHONY HARDY",DEMOCRATIC,PA,SENATE DISTRICT 008,Incumbent,Won-General,1439908.17
"BOYLE, BRENDAN F",DEMOCRATIC,PA,US HOUSE DISTRICT PA 013,Open,Won-General,1314118.10
"STROUSE, KEVIN R",DEMOCRATIC,PA,US HOUSE DISTRICT PA 008,Challenger,Lost-General,1297301.43
"PITTS, JOSEPH R",REPUBLICAN,PA,US HOUSE DISTRICT PA 016,Incumbent,Won-General,1279278.32
"CARTWRIGHT, MATTHEW ALTON",DEMOCRATIC,PA,US HOUSE DISTRICT PA 017,Incumbent,Won-General,1270914.90
"AURAND, MARK D",DEMOCRATIC,PA,SENATE DISTRICT 040,Open,Lost-General,1228262.76
"BARLETTA, LOU",REPUBLICAN,PA,US HOUSE DISTRICT PA 011,Incumbent,Won-General,1182473.72
"BROWNE, PATRICK M",REPUBLICAN,PA,SENATE DISTRICT 016,Incumbent,Won-General,1164016.13
"SCAVELLO, MARIO M",REPUBLICAN,PA,SENATE DISTRICT 040,Open,Won-General,1153832.63
"KULA, DEBERAH",DEMOCRATIC,PA,SENATE DISTRICT 032,Open,Lost-General,1124022.67
"SOLOBAY, TIMOTHY JOSEPH",DEMOCRATIC,PA,SENATE DISTRICT 046,Incumbent,Lost-General,1119744.90
"TARTAGLIONE, CHRISTINE M",DEMOCRATIC,PA,SENATE DISTRICT 002,Incumbent,Won-General,1048468.58
"ADOLPH JR, WILLIAM F",REPUBLICAN,PA,HOUSE DISTRICT 165,Incumbent,Won-General,1035693.51
"MARINO, THOMAS ANTHONY (TOM)",REPUBLICAN,PA,US HOUSE DISTRICT PA 010,Incumbent,Won-General,1018875.52
"MCILHINNEY JR, CHARLES T (CHUCK)",REPUBLICAN,PA,SENATE DISTRICT 010,Incumbent,Won-General,997465.67
"REED, DAVID L (DAVE)",REPUBLICAN,PA,HOUSE DISTRICT 062,Incumbent,Won-General,920843.59
"RAFFERTY JR, JOHN C",REPUBLICAN,PA,SENATE DISTRICT 044,Incumbent,Won-General,917497.54
"TRIVEDI, MANAN M",DEMOCRATIC,PA,US HOUSE DISTRICT PA 006,Open,Lost-General,907178.09
"DERMODY, FRANK J",DEMOCRATIC,PA,HOUSE DISTRICT 033,Incumbent,Won-General,878453.22
"KELLY JR, GEORGE (MIKE)",REPUBLICAN,PA,US HOUSE DISTRICT PA 003,Incumbent,Won-General,816142.53
"TURZAI, MICHAEL C",REPUBLICAN,PA,HOUSE DISTRICT 028,Incumbent,Won-General,727061.12
"THOMPSON JR, GLENN WILLIAM",REPUBLICAN,PA,US HOUSE DISTRICT PA 005,Incumbent,Won-General,711616.82
"KAMPF, WARREN E",REPUBLICAN,PA,HOUSE DISTRICT 157,Incumbent,Won-General,709776.36
"BRADY, ROBERT A",DEMOCRATIC,PA,US HOUSE DISTRICT PA 001,Incumbent,Won-General,701455.00
"SAYLOR, STANLEY E",REPUBLICAN,PA,HOUSE DISTRICT 094,Incumbent,Won-General,696562.35
"WAGNER, SCOTT R",REPUBLICAN,PA,SENATE DISTRICT 028,Incumbent,Won-General,620932.32
"PERRY, SCOTT GORDON",REPUBLICAN,PA,US HOUSE DISTRICT PA 004,Incumbent,Won-General,616232.31
