Candidate,Party,State,Office,Incumbency,Result,Total Money
"ENZI, MICHAEL BRADLEY (MIKE)",REPUBLICAN,WY,US SENATE DISTRICT WY SW-CLASS II,Incumbent,Won-General,3856825.89
"MEAD, MATTHEW (MATT)",REPUBLICAN,WY,GOVERNOR,Incumbent,Won-General,692156.69
"MURRAY, EDWARD F",REPUBLICAN,WY,SECRETARY OF STATE,Open,Won-General,508200.00
"LUMMIS, CYNTHIA MARIE",REPUBLICAN,WY,US HOUSE DISTRICT WY 001,Incumbent,Won-General,432539.00
"CEBALLOS, MICHAEL (MIKE)",DEMOCRATIC,WY,SUPERINTENDENT OF PUBLIC INSTRUCTION,Open,Lost-General,212535.92
"GORDON, MARK",REPUBLICAN,WY,TREASURER,Incumbent,Won-General,210634.92
"GOSAR, PETE",DEMOCRATIC,WY,GOVERNOR,Challenger,Lost-General,128456.26
"BALOW, JILLIAN",REPUBLICAN,WY,SUPERINTENDENT OF PUBLIC INSTRUCTION,Open,Won-General,94464.37
"HARDY, CHARLIE",DEMOCRATIC,WY,US SENATE DISTRICT WY SW-CLASS II,Challenger,Lost-General,80123.91
"WILLS, DONALD N (DON)",INDEPENDENT,WY,GOVERNOR,Challenger,Lost-General,46282.31
"EMERICH, FRED",REPUBLICAN,WY,SENATE DISTRICT 005,Incumbent,Won-General,26260.00
"CLOUD, CYNTHIA I",REPUBLICAN,WY,AUDITOR,Incumbent,Won-General,25696.92
"GOTTSHALL, CURT E",INDEPENDENT,WY,US SENATE DISTRICT WY SW-CLASS II,Challenger,Lost-General,24318.41
"PERKINS, DREW A",REPUBLICAN,WY,SENATE DISTRICT 029,Incumbent,Won-General,24059.22
"THRONE, MARY ANN",DEMOCRATIC,WY,HOUSE DISTRICT 011,Incumbent,Won-General,23505.00
"SCHWARTZ, ANDY",DEMOCRATIC,WY,HOUSE DISTRICT 023,Open,Won-General,21360.00
"BARBUTO, JOSEPH M",DEMOCRATIC,WY,HOUSE DISTRICT 048,Challenger,Lost-General,20968.81
"CAMERON, DAMEIONE S",DEMOCRATIC,WY,SENATE DISTRICT 007,Open,Lost-General,20587.28
"LOCKHART, TOM",REPUBLICAN,WY,HOUSE DISTRICT 057,Incumbent,Won-General,20305.00
