Candidate,Party,State,Office,Incumbency,Result,Total Money
"BENNET, MICHAEL F",DEMOCRATIC,CO,US SENATE DISTRICT CO SW-CLASS III,Incumbent,Won-General,18335673.59
"GLENN, DARRYL",REPUBLICAN,CO,US SENATE DISTRICT CO SW-CLASS III,Challenger,Lost-General,4069354.84
"COFFMAN, MICHAEL (MIKE)",REPUBLICAN,CO,US HOUSE DISTRICT CO 006,Incumbent,Won-General,3540685.22
"CARROLL, MORGAN",DEMOCRATIC,CO,US HOUSE DISTRICT CO 006,Challenger,Lost-General,3135444.71
"PERLMUTTER, EDWIN G (ED)",DEMOCRATIC,CO,US HOUSE DISTRICT CO 007,Incumbent,Won-General,1978187.13
"TIPTON, SCOTT R",REPUBLICAN,CO,US HOUSE DISTRICT CO 003,Incumbent,Won-General,1918203.18
"SCHWARTZ, GAIL",DEMOCRATIC,CO,US HOUSE DISTRICT CO 003,Challenger,Lost-General,1687349.23
"POLIS, JARED SCHUTZ",DEMOCRATIC,CO,US HOUSE DISTRICT CO 002,Incumbent,Won-General,1410522.56
"DEGETTE, DIANA L",DEMOCRATIC,CO,US HOUSE DISTRICT CO 001,Incumbent,Won-General,1325195.61
"LAMBORN, DOUGLAS L (DOUG)",REPUBLICAN,CO,US HOUSE DISTRICT CO 005,Incumbent,Won-General,589901.14
"ZENZINGER, RACHEL",DEMOCRATIC,CO,SENATE DISTRICT 019,Challenger,Won-General,258981.61
"KAGAN, DANIEL (DAN)",DEMOCRATIC,CO,SENATE DISTRICT 026,Open,Won-General,258613.58
"BRIDGES, JEFF",DEMOCRATIC,CO,HOUSE DISTRICT 003,Open,Won-General,255664.16
"WOODS, LAURA J",REPUBLICAN,CO,SENATE DISTRICT 019,Incumbent,Lost-General,204347.64
"DOTY, NANCY A",REPUBLICAN,CO,SENATE DISTRICT 026,Open,Lost-General,200880.27
"GANAHL, HEIDI A",REPUBLICAN,CO,BOARD OF REGENTS,Open,Won-General,200866.61
"MAY, JENISE L",DEMOCRATIC,CO,SENATE DISTRICT 025,Open,Lost-General,197934.40
"HOOTON, EDITH RUSSELL (EDIE)",DEMOCRATIC,CO,HOUSE DISTRICT 010,Open,Won-General,168995.78
"SULLIVAN, TOM",DEMOCRATIC,CO,SENATE DISTRICT 027,Challenger,Lost-General,167807.40
"MCLACHLAN, BARBARA HALL",DEMOCRATIC,CO,HOUSE DISTRICT 059,Challenger,Won-General,167534.98
"MORSE, NICHOLAS GRANT",REPUBLICAN,CO,US HOUSE DISTRICT CO 002,Challenger,Lost-General,167133.24
"KENNEDY, CHRIS",DEMOCRATIC,CO,HOUSE DISTRICT 023,Open,Won-General,160304.79
"SALAZAR, JOSEPH ANTHONY (JOE)",DEMOCRATIC,CO,HOUSE DISTRICT 031,Incumbent,Won-General,157018.30
"BROWN, J PAUL",REPUBLICAN,CO,HOUSE DISTRICT 059,Incumbent,Lost-General,155714.85
"PRIOLA, KEVIN G",REPUBLICAN,CO,SENATE DISTRICT 025,Open,Won-General,142733.13
"HEROD, LESLIE",DEMOCRATIC,CO,HOUSE DISTRICT 008,Open,Won-General,140215.16
"HANSEN, CHRISTOPHER JOSHI",DEMOCRATIC,CO,HOUSE DISTRICT 006,Open,Won-General,138816.23
