Candidate,Party,State,Office,Incumbency,Result,Total Money
"GIANFORTE, GREGORY (GREG) & ROBINSON, LESLEY",REPUBLICAN,MT,GOVERNOR / LIEUTENANT GOVERNOR,Challenger,Lost-General,8581754.86
"ZINKE, RYAN K",REPUBLICAN,MT,US HOUSE DISTRICT MT 001,Incumbent,Won-General,6376461.90
"BULLOCK, STEPHEN CLARK (STEVE) & COONEY, MIKE",DEMOCRATIC,MT,GOVERNOR / LIEUTENANT GOVERNOR,Incumbent,Won-General,3284519.78
"JUNEAU, DENISE",DEMOCRATIC,MT,US HOUSE DISTRICT MT 001,Challenger,Lost-General,2707063.20
"SANDEFUR, DIRK M",NONPARTISAN,MT,SUPREME COURT-003,Open,Won-General,443526.85
"LASLOVICH, JESSE A",DEMOCRATIC,MT,AUDITOR,Open,Lost-General,351541.22
"FOX, TIMOTHY C (TIM)",REPUBLICAN,MT,ATTORNEY GENERAL,Incumbent,Won-General,349238.40
"STAPLETON, COREY M",REPUBLICAN,MT,SECRETARY OF STATE,Open,Won-General,304702.83
"ROMANO, MELISSA",DEMOCRATIC,MT,SUPERINTENDENT OF PUBLIC INSTRUCTION,Open,Lost-General,246447.37
"ARNTZEN, ELSIE M",REPUBLICAN,MT,SUPERINTENDENT OF PUBLIC INSTRUCTION,Open,Won-General,234392.24
"LINDEEN, MONICA J",DEMOCRATIC,MT,SECRETARY OF STATE,Open,Lost-General,230404.00
"JURAS, KRISTEN",NONPARTISAN,MT,SUPREME COURT-003,Open,Lost-General,218901.23
"ROSENDALE SR, MATTHEW MARTIN (MATT)",REPUBLICAN,MT,AUDITOR,Open,Won-General,136876.89
"MCGRATH, MIKE",NONPARTISAN,MT,SUPREME COURT-CHIEF JUSTICE,Incumbent,Won-General,65121.41
"SHEA, JIM",NONPARTISAN,MT,SUPREME COURT-006,Incumbent,Won-General,61688.00
"COOPER, CARON",INDEPENDENT,MT,PUBLIC SERVICE COMMISSIONER DISTRICT 003,Challenger,Lost-General,54113.21
"JENT, LARRY",DEMOCRATIC,MT,ATTORNEY GENERAL,Challenger,Lost-General,52936.19
"ODONNELL, TONY",REPUBLICAN,MT,PUBLIC SERVICE COMMISSIONER DISTRICT 002,Open,Won-General,49327.45
"GUTSCHE, GAIL LYNN",DEMOCRATIC,MT,PUBLIC SERVICE COMMISSIONER DISTRICT 004,Challenger,Lost-General,48097.02
"FRANCE, THOMAS M (TOM)",DEMOCRATIC,MT,SENATE DISTRICT 047,Open,Lost-General,40124.00
"FITZPATRICK, STEVEN J",REPUBLICAN,MT,SENATE DISTRICT 010,Open,Won-General,39414.71
"ROBERTS, DONALD L",REPUBLICAN,MT,SENATE DISTRICT 026,Open,Lost-General,38169.88
"MACDONALD, MARGARET E (MARGIE)",DEMOCRATIC,MT,SENATE DISTRICT 026,Open,Won-General,37269.54
"JACOBSON, HAL",DEMOCRATIC,MT,SENATE DISTRICT 040,Open,Lost-General,36568.49
"MARX, ADDRIEN",DEMOCRATIC,MT,HOUSE DISTRICT 092,Open,Lost-General,32873.85
"HERTZ, ADAM G",REPUBLICAN,MT,HOUSE DISTRICT 096,Challenger,Won-General,31943.07
"DUNWELL, MARY ANNE",DEMOCRATIC,MT,HOUSE DISTRICT 084,Incumbent,Won-General,31843.26
"ZOLNIKOV, DANIEL",REPUBLICAN,MT,HOUSE DISTRICT 045,Incumbent,Won-General,31189.97
"SAUNDERS, ROBERT J",REPUBLICAN,MT,HOUSE DISTRICT 048,Challenger,Lost-General,30971.93
"KOOPMAN, ROGER",REPUBLICAN,MT,PUBLIC SERVICE COMMISSIONER DISTRICT 003,Incumbent,Won-General,30625.57
"GAUTHIER, TERRY J",REPUBLICAN,MT,SENATE DISTRICT 040,Open,Won-General,29858.84
"GIBSON, STEVE",REPUBLICAN,MT,HOUSE DISTRICT 084,Challenger,Lost-General,29428.17
"SALOMON, DANIEL R",REPUBLICAN,MT,SENATE DISTRICT 047,Open,Won-General,27005.02
"ABBOTT, KIMBERLY (KIM)",DEMOCRATIC,MT,HOUSE DISTRICT 083,Open,Won-General,25549.17
"PERSON, ANDREW",DEMOCRATIC,MT,HOUSE DISTRICT 096,Incumbent,Lost-General,22852.30
"GROSS, JEN",DEMOCRATIC,MT,SENATE DISTRICT 025,Open,Won-General,22593.29
"NOONAN, PAT",DEMOCRATIC,MT,PUBLIC SERVICE COMMISSIONER DISTRICT 003,Challenger,Lost-General,22104.91
"KNOKEY, JON A",REPUBLICAN,MT,HOUSE DISTRICT 065,Challenger,Won-General,20881.82
"KARJALA, JESSICA L",DEMOCRATIC,MT,HOUSE DISTRICT 048,Incumbent,Won-General,20754.35
"LAMM, DEBRA",REPUBLICAN,MT,HOUSE DISTRICT 060,Incumbent,Lost-General,20419.25
"LANG, MIKE L",REPUBLICAN,MT,SENATE DISTRICT 017,Open,Won-General,20069.00
"MCKAMEY, WENDY G",REPUBLICAN,MT,HOUSE DISTRICT 019,Open,Won-General,20015.94
"ESSMANN, JEFFREY",REPUBLICAN,MT,HOUSE DISTRICT 054,Incumbent,Won-General,19665.00
"OSMUNDSON, RYAN",REPUBLICAN,MT,SENATE DISTRICT 015,Open,Won-General,19110.00
"HAMILTON, JAMES A (JIM)",DEMOCRATIC,MT,HOUSE DISTRICT 061,Open,Won-General,19051.60
"BISHOP, LAURIE",DEMOCRATIC,MT,HOUSE DISTRICT 060,Challenger,Won-General,18407.74
"EHLI, RON",REPUBLICAN,MT,HOUSE DISTRICT 086,Incumbent,Won-General,18059.33
"OLSZEWSKI, ALBERT D",REPUBLICAN,MT,SENATE DISTRICT 006,Open,Won-General,17765.00
"WELBORN, JEFFREY W",REPUBLICAN,MT,SENATE DISTRICT 036,Open,Won-General,17391.21
"BEARD, REBECCA M (BECKY)",REPUBLICAN,MT,HOUSE DISTRICT 080,Open,Won-General,16806.87
"HESS, STEPHANIE",REPUBLICAN,MT,HOUSE DISTRICT 028,Incumbent,Lost-General,16770.00
"FIELDER, JENNIFER",REPUBLICAN,MT,SENATE DISTRICT 007,Incumbent,Won-General,16477.93
"RICHMOND, THOMAS",REPUBLICAN,MT,SENATE DISTRICT 028,Open,Won-General,16315.94
"SALES, WALTER (WALT)",REPUBLICAN,MT,HOUSE DISTRICT 069,Open,Won-General,16138.05
"MORIGEAU, SHANE A",DEMOCRATIC,MT,HOUSE DISTRICT 095,Open,Won-General,16107.62
"GANSER, NEAL",REPUBLICAN,MT,HOUSE DISTRICT 061,Open,Lost-General,15904.23
"PATELIS, JIMMY G",REPUBLICAN,MT,HOUSE DISTRICT 052,Open,Won-General,15814.40
"PERRY, ZAC",DEMOCRATIC,MT,HOUSE DISTRICT 003,Incumbent,Won-General,15603.06
"RYAN, MARILYN",DEMOCRATIC,MT,HOUSE DISTRICT 099,Open,Won-General,15040.83
"FERN, DAVID (DAVE)",DEMOCRATIC,MT,HOUSE DISTRICT 005,Open,Won-General,14979.95
"MCCLAFFERTY, EDITH (EDIE)",DEMOCRATIC,MT,SENATE DISTRICT 038,Open,Won-General,14908.85
"HUSTON, DONNA",REPUBLICAN,MT,SENATE DISTRICT 025,Open,Lost-General,14691.04
"REGIER, KEITH",REPUBLICAN,MT,SENATE DISTRICT 003,Open,Won-General,14526.00
"ANDERSON, FRED",REPUBLICAN,MT,HOUSE DISTRICT 020,Open,Won-General,14315.00
"GORSKI, MARGARET J",DEMOCRATIC,MT,HOUSE DISTRICT 088,Challenger,Lost-General,14286.09
"DAVIS, NICK",DEMOCRATIC,MT,HOUSE DISTRICT 097,Challenger,Lost-General,14190.97
"THOMAS, FRED",REPUBLICAN,MT,SENATE DISTRICT 044,Incumbent,Won-General,14089.00
"FLEMING, JOHN",DEMOCRATIC,MT,HOUSE DISTRICT 093,Open,Won-General,13872.00
"BACHMEIER, JACOB",DEMOCRATIC,MT,HOUSE DISTRICT 028,Challenger,Won-General,13649.13
"BOITER, KARI",DEMOCRATIC,MT,HOUSE DISTRICT 044,Challenger,Lost-General,13318.28
"MUGGLI, STEVE",DEMOCRATIC,MT,HOUSE DISTRICT 038,Challenger,Lost-General,13228.00
"COURT, VIRGINIA J",DEMOCRATIC,MT,HOUSE DISTRICT 050,Incumbent,Won-General,13082.00
