Candidate,Party,State,Office,Incumbency,Result,Total Money
"HUBBELL, FREDERICK SHELTON (FRED) & HART, RITA ROTTINGHAUS",DEMOCRATIC,IA,GOVERNOR / LIEUTENANT GOVERNOR,Challenger,Pending,8528985.47
"REYNOLDS, KIM & GREGG, ADAM C",REPUBLICAN,IA,GOVERNOR / LIEUTENANT GOVERNOR,Incumbent,Pending,7335294.39
"FINKENAUER, ABBY",DEMOCRATIC,IA,US HOUSE DISTRICT IA 001,Challenger,Pending,1867084.34
"BLUM, RODNEY L",REPUBLICAN,IA,US HOUSE DISTRICT IA 001,Incumbent,Pending,1781365.75
"YOUNG, DAVID E",REPUBLICAN,IA,US HOUSE DISTRICT IA 003,Incumbent,Pending,1709245.46
"LOEBSACK, DAVID WAYNE (DAVE)",DEMOCRATIC,IA,US HOUSE DISTRICT IA 002,Incumbent,Pending,1543655.59
"AXNE, CINDY",DEMOCRATIC,IA,US HOUSE DISTRICT IA 003,Challenger,Pending,1069362.89
"SCHOLTEN, JAMES D",DEMOCRATIC,IA,US HOUSE DISTRICT IA 004,Challenger,Pending,753529.04
"WHITVER, JACK",REPUBLICAN,IA,SENATE DISTRICT 019,Incumbent,Pending,586843.70
"UPMEYER, LINDA L",REPUBLICAN,IA,HOUSE DISTRICT 054,Incumbent,Pending,567707.64
"KING, STEVEN (STEVE)",REPUBLICAN,IA,US HOUSE DISTRICT IA 004,Incumbent,Pending,506774.55
"SAND, ROBERT H (ROB)",DEMOCRATIC,IA,AUDITOR,Challenger,Pending,493499.29
"PATE, PAUL D",REPUBLICAN,IA,SECRETARY OF STATE,Incumbent,Pending,294411.97
"SMITH, ROBY",REPUBLICAN,IA,SENATE DISTRICT 047,Incumbent,Pending,280208.86
"PETERS, CHRISTOPHER",REPUBLICAN,IA,US HOUSE DISTRICT IA 002,Challenger,Pending,248655.12
"MILLER, TOM",DEMOCRATIC,IA,ATTORNEY GENERAL,Incumbent,Pending,242350.55
