office,candidate,party,state,incumbency,result,total money,district
Governor,Bob Wise,DEM,WV,Challenger,Won-General,2849829.52,nan
Governor,Cecil Underwood,REP,WV,Incumbent,Lost-General,2623279.34,nan
Supreme Court-Open Seat,Robin Jean Davis,DEM,WV,Open,Won-General,492106.97,nan
Secretary Of State,Joseph Manchin III,DEM,WV,Open,Won-General,444166.48,nan
Supreme Court-Open Seat,Joe Albright,DEM,WV,Open,Won-General,309520.66,nan
State Senator,Mark Allen Hunt,DEM,WV,Challenger,Lost-General,210594.03,8
State Senator,Earl Ray Tomblin,DEM,WV,Incumbent,Won-General,195959.53,7
State Representative,Robert Kiss,DEM,WV,Incumbent,Won-General,176872.15,27
State Senator,Vic Sprouse,REP,WV,Incumbent,Won-General,167314.14,8
State Senator,Anita Skeens Caldwell,DEM,WV,Open,Won-General,159335.2,10
Treasurer,John Perdue,DEM,WV,Incumbent,Won-General,122951.42,nan
State Senator,Larry Rowe,DEM,WV,Open,Won-General,104062.1,17
State Representative,Sally Susman,DEM,WV,Incumbent,Won-General,99356.09,27
State Representative,Raymond Keener III,DEM,WV,Challenger,Won-General,95417.0,30
State Representative,Barbara Evans Fleischauer,DEM,WV,Incumbent,Won-General,90612.06,44
State Representative,Sheirl Fletcher,REP,WV,Incumbent,Won-General,89371.28,44
State Representative,William Nelson,REP,WV,Challenger,Lost-General,80765.31,30
State Senator,Hon Karen Facemyer,REP,WV,Challenger,Won-General,79923.45,4
State Representative,Warren McGraw II,DEM,WV,Incumbent,Won-General,71879.96,27
State Senator,Andy McKenzie,REP,WV,Incumbent,Won-General,70330.02,1
State Senator,Jon Blair Hunter,DEM,WV,Challenger,Won-General,62968.41,14
State Senator,Mark Burnette,DEM,WV,Incumbent,Won-General,62484.6,11
State Representative,Eustace Frederick,DEM,WV,Incumbent,Won-General,60892.66,24
State Representative,Carrie Webster,DEM,WV,Open,Won-General,58189.99,31
State Senator,Charles Lewis,REP,WV,Open,Lost-General,55890.0,17
State Representative,Barbara Warner,DEM,WV,Incumbent,Won-General,54525.74,41
State Senator,Jeffrey Vincent Kessler,DEM,WV,Incumbent,Won-General,53526.58,2
State Senator,Mike Ross,DEM,WV,Incumbent,Won-General,52523.91,15
State Representative,Je Joe Martin,DEM,WV,Incumbent,Won-General,49990.0,37
State Representative,Richard Staton,DEM,WV,Incumbent,Won-General,49745.12,23
State Senator,Bill Sharpe,DEM,WV,Incumbent,Won-General,49354.48,12
State Representative,Robert John Gould,REP,WV,Challenger,Lost-General,49160.05,30
State Senator,Robert Dittmar,DEM,WV,Incumbent,Lost-General,47081.15,4
State Representative,Kevin Craig,DEM,WV,Challenger,Won-General,46335.0,15
State Representative,Gil White,REP,WV,Open,Won-General,44234.25,3
State Representative,Vicki Douglas,DEM,WV,Incumbent,Won-General,43059.51,52
State Representative,Oscar Hines,DEM,WV,Incumbent,Lost-General,42929.38,11
State Representative,Rebecca Mathews,DEM,WV,Challenger,Won-General,41358.0,30
State Representative,John Doyle,DEM,WV,Incumbent,Won-General,39961.68,55
Governor,Denise Giardina,MOUNTAIN,WV,Challenger,Lost-General,37061.63,nan
State Representative,Samuel Cann,DEM,WV,Incumbent,Won-General,36686.26,41
State Representative,Joe Smith,DEM,WV,Incumbent,Won-General,36666.86,30
State Representative,Frederick David Gillespie,REP,WV,Challenger,Lost-General,36107.51,10
State Representative,Margarette Leach,DEM,WV,Incumbent,Won-General,35838.66,15
State Representative,Joe Delong,DEM,WV,Open,Won-General,35750.1,1
State Representative,Lisa Smith,REP,WV,Incumbent,Won-General,34525.0,14
State Senator,Herb Snyder,DEM,WV,Incumbent,Won-General,31929.59,16
State Representative,Michael Caputo,DEM,WV,Incumbent,Won-General,30427.99,43
State Representative,D Beane,DEM,WV,Incumbent,Won-General,30339.45,10
State Representative,Sharon Spencer,DEM,WV,Incumbent,Won-General,30220.0,30
State Representative,Charlene Marshall,DEM,WV,Incumbent,Won-General,30107.08,44
State Representative,Lidella Hrutkay,DEM,WV,Challenger,Won-General,30009.27,20
State Senator,Greg Corliss,REP,WV,Challenger,Lost-General,29969.71,16
State Representative,Scott Varner,DEM,WV,Incumbent,Won-General,29607.53,4
State Representative,Steven Kominar,DEM,WV,Incumbent,Won-General,28695.12,19
State Representative,Dale Stephens,DEM,WV,Challenger,Won-General,28676.88,16
State Representative,Randal Swartzmiller,DEM,WV,Open,Won-General,28511.54,1
State Representative,Virginia Mahan,DEM,WV,Incumbent,Won-General,27809.64,27
State Representative,Joe Ferrell,DEM,WV,Incumbent,Won-General,27551.42,20
State Representative,Jon Cain Sr.,DEM,WV,Challenger,Lost-General,27186.0,32
State Representative,Mary Pearl Compton,DEM,WV,Incumbent,Won-General,27164.7,26
State Senator,Roman Prezioso Jr.,DEM,WV,Incumbent,Won-General,26685.0,13
State Senator,Shirley Love,DEM,WV,Incumbent,Won-General,26650.0,11
State Representative,Peggy Miller Bahnsen,REP,WV,Open,Lost-General,26560.0,1
State Representative,Ron Walters,REP,WV,Challenger,Won-General,25840.73,32
State Representative,Nancy Houston,DEM,WV,Incumbent,Lost-General,25195.0,44
Attorney General,Darrell McGraw Jr.,DEM,WV,Incumbent,Won-General,24935.32,nan
State Representative,Charles Trump IV,REP,WV,Incumbent,Won-General,24667.44,51
State Representative,David Lee Pethtel,DEM,WV,Incumbent,Won-General,23984.49,5
State Representative,Priscilla Haden,REP,WV,Challenger,Lost-General,23732.61,30
State Senator,Robert Harman,REP,WV,Challenger,Lost-General,23673.71,14
State Representative,Ron Thompson,DEM,WV,Incumbent,Won-General,23471.83,27
State Representative,Barbara Hatfield,DEM,WV,Incumbent,Won-General,23034.29,30
State Representative,Rick Thompson,DEM,WV,Open,Won-General,22682.18,17
State Representative,James Manchin,DEM,WV,Incumbent,Won-General,21599.83,43
State Representative,Cynthia Lynne Frich,REP,WV,Challenger,Lost-General,21365.0,44
State Representative,Dale Manuel,DEM,WV,Incumbent,Won-General,21336.93,56
State Representative,Harry Keith White,DEM,WV,Incumbent,Won-General,21004.54,19
State Representative,Tom Coleman,DEM,WV,Incumbent,Won-General,20983.77,42
State Representative,Dale Riggs,REP,WV,Incumbent,Won-General,20891.9,39
State Representative,Bonnie Brown,DEM,WV,Challenger,Won-General,20787.5,30
State Representative,Harold Michael,DEM,WV,Incumbent,Won-General,20250.0,47
State Senator,Robert Plymale,DEM,WV,Incumbent,Won-General,20235.0,5
