office,candidate,party,state,incumbency,result,total money,district
Governor,Tom Vilsack,DEM,IA,Incumbent,Won-General,7456881.72,nan
Governor,Doug Gross,REP,IA,Challenger,Lost-General,6264432.84,nan
State Senator,Stewart Iverson Jr.,REP,IA,Open,Won-General,704718.16,5
State Senator,Mary Kramer,REP,IA,Open,Won-General,308542.19,30
Secretary Of State,Chet Culver,DEM,IA,Incumbent,Won-General,275651.54,nan
State Representative,Christopher Rants,REP,IA,Open,Won-General,270781.87,54
Agriculture Secretary,Patty Judge,DEM,IA,Incumbent,Won-General,262955.1,nan
Attorney General,Tom Miller,DEM,IA,Incumbent,Won-General,217435.21,nan
Agriculture Secretary,John Askew,REP,IA,Challenger,Lost-General,212049.8,nan
Auditor,David Vaudt,REP,IA,Open,Won-General,205059.61,nan
State Representative,Richard Myers,DEM,IA,Open,Won-General,201465.0,30
State Senator,Matt McCoy,DEM,IA,Open,Won-General,199114.83,31
Treasurer,Matt Whitaker,REP,IA,Challenger,Lost-General,197388.71,nan
State Senator,Amanda Elsie Ragan,DEM,IA,Open,Won-General,188313.64,7
State Senator,Chuck Larson,REP,IA,Open,Won-General,188006.56,19
State Senator,Kaye Lozier,REP,IA,Open,Lost-General,184719.38,31
State Senator,Mark Shearer,DEM,IA,Open,Lost-General,183799.2,45
State Representative,Jackie Reeder,DEM,IA,Open,Lost-General,162327.92,18
State Representative,Geri Huser,DEM,IA,Open,Won-General,150315.04,42
State Representative,Jamie Van Fossen,REP,IA,Open,Won-General,143396.81,81
Auditor,Patrick Deluhery,DEM,IA,Open,Lost-General,143269.55,nan
State Representative,William Dix,REP,IA,Open,Won-General,141034.31,17
State Senator,Thomas Fiegen,DEM,IA,Open,Lost-General,138789.81,40
State Senator,Maurice Welte,DEM,IA,Open,Won-General,129717.41,27
Treasurer,Michael Fitzgerald,DEM,IA,Incumbent,Won-General,128129.19,nan
State Senator,David Miller,REP,IA,Open,Won-General,118449.65,45
State Representative,Mike Owen,DEM,IA,Open,Lost-General,116603.44,79
State Senator,Thomas Flynn,DEM,IA,Open,Lost-General,112071.55,16
State Senator,Dennis Black,DEM,IA,Open,Won-General,111928.56,21
State Representative,Jo Oldson,DEM,IA,Open,Won-General,105995.57,61
State Representative,Frank Chiodo,DEM,IA,Open,Won-General,98093.06,62
State Senator,Jeffrey Lamberti,REP,IA,Open,Won-General,97900.0,35
State Senator,Bill Fink,DEM,IA,Open,Lost-General,96918.73,37
State Representative,Rosemary Schwartz,DEM,IA,Open,Lost-General,94479.94,39
State Senator,Doug Shull,REP,IA,Open,Won-General,93461.82,37
State Representative,Swati Dandekar,DEM,IA,Open,Won-General,91322.3,36
State Representative,David Campbell,DEM,IA,Open,Lost-General,90587.02,69
State Representative,David Lalk,REP,IA,Open,Won-General,89833.62,18
State Representative,Kraig Paulsen,REP,IA,Open,Won-General,88245.58,35
State Representative,Ervin Dennis,REP,IA,Open,Won-General,86674.98,19
State Representative,Jeanette Randall,DEM,IA,Open,Lost-General,85787.7,23
State Representative,Joe Rasmussen,DEM,IA,Open,Lost-General,80097.81,35
Attorney General,Dave Millage,REP,IA,Challenger,Lost-General,79501.28,nan
State Senator,Lenee Sinnott,DEM,IA,Open,Lost-General,77121.32,28
State Representative,Sharon Treinen,DEM,IA,Open,Lost-General,74077.91,44
State Representative,Dan Rasmussen,REP,IA,Open,Won-General,73509.33,23
State Representative,Polly Granzow,REP,IA,Open,Won-General,72712.07,44
State Representative,Greg Stevens,DEM,IA,Open,Won-General,69917.77,6
State Senator,Renee Sneitzer,DEM,IA,Open,Lost-General,69664.83,19
State Senator,Daryl Beall,DEM,IA,Open,Won-General,69183.41,25
State Representative,Jim Lykam,DEM,IA,Open,Won-General,68780.11,85
State Senator,Richard Drake,REP,IA,Open,Won-General,68695.04,40
State Representative,Dennis Parmenter,DEM,IA,Open,Lost-General,68625.17,10
State Senator,Herman Quirmbach,DEM,IA,Open,Won-General,67352.84,23
State Representative,Helen Miller,DEM,IA,Open,Won-General,66230.77,49
State Representative,Mark Henderson,DEM,IA,Open,Lost-General,64732.81,83
State Representative,Mark Smith,DEM,IA,Open,Won-General,64404.96,43
State Representative,Philip Wise,DEM,IA,Open,Won-General,64169.63,92
State Representative,Steven Olson,REP,IA,Open,Won-General,62288.19,83
State Senator,Dennis Starling,DEM,IA,Open,Lost-General,61791.67,42
State Senator,Bryan Sievers,REP,IA,Open,Won-General,61685.08,42
State Senator,Margaret Tinsman,REP,IA,Open,Won-General,60719.83,41
State Representative,Bob Murphy,DEM,IA,Open,Lost-General,60689.16,19
State Senator,Mary Ellen Miller,REP,IA,Open,Lost-General,60330.23,7
State Senator,Steve Warnstadt,DEM,IA,Open,Won-General,59984.73,1
State Representative,Brad Hansen,REP,IA,Open,Won-General,59915.15,100
State Senator,Joseph Bolkcom,DEM,IA,Open,Won-General,59806.0,39
State Senator,Julie Hosch,REP,IA,Open,Won-General,59171.17,16
State Representative,Robert Hogg,DEM,IA,Open,Won-General,58628.32,38
State Senator,Ron Wieck,REP,IA,Open,Lost-General,57198.29,27
State Senator,John Putney,REP,IA,Open,Won-General,56985.86,20
State Senator,Mark Zieman,REP,IA,Open,Won-General,56093.77,8
State Senator,Roger Stewart,DEM,IA,Open,Won-General,55838.92,13
State Representative,Jeffrey Elgin,REP,IA,Open,Won-General,55182.14,37
State Senator,Nancy Boettger,REP,IA,Open,Won-General,55023.38,29
State Representative,Bonnie Vetter,REP,IA,Open,Lost-General,54676.06,6
State Senator,Robert Dvorsky,DEM,IA,Open,Won-General,53821.5,15
State Representative,Don Palmer,REP,IA,Open,Lost-General,53773.64,38
State Representative,Jeffrey Danielson,DEM,IA,Open,Won-General,53201.28,20
State Representative,Susan Conroy,DEM,IA,Open,Lost-General,53035.68,76
State Representative,Leigh Rekow,REP,IA,Open,Lost-General,52963.2,24
State Representative,Gene Manternach,REP,IA,Open,Won-General,52222.54,31
State Representative,Andra Atteberry,DEM,IA,Open,Lost-General,51888.57,32
State Representative,John Hedgecoth,DEM,IA,Open,Lost-General,49914.63,37
State Senator,Keith Kreiman,DEM,IA,Open,Won-General,49217.54,47
State Representative,Linda Upmeyer,REP,IA,Open,Won-General,49021.43,12
State Representative,Tom Mack,REP,IA,Open,Lost-General,48827.24,43
State Representative,Danny Carroll,REP,IA,Open,Won-General,48099.69,75
State Representative,Lisa Heddens,DEM,IA,Open,Lost-General,47933.74,46
State Representative,Karen Balderston,REP,IA,Open,Lost-General,47865.24,36
State Representative,Patricia Zamora,DEM,IA,Open,Lost-General,47802.0,84
Secretary Of State,Mike Hartwig,REP,IA,Challenger,Lost-General,47621.58,nan
State Senator,William Dotzler,DEM,IA,Open,Won-General,47506.49,11
State Representative,George Eichhorn,REP,IA,Open,Won-General,47467.57,9
State Representative,Charles Gipp,REP,IA,Open,Won-General,46730.0,16
State Representative,Willard Jenkins,REP,IA,Open,Lost-General,46588.59,20
State Representative,Betty De Boef,REP,IA,Open,Won-General,46517.48,76
State Representative,Steven Lukan,REP,IA,Open,Won-General,45703.44,32
State Representative,James Kurtenbach,REP,IA,Open,Won-General,45157.06,10
State Representative,John Riessen,DEM,IA,Open,Lost-General,45013.38,87
State Representative,Michael Reasoner,DEM,IA,Open,Won-General,44997.15,95
State Senator,David Johnson,REP,IA,Open,Won-General,44481.27,3
State Representative,Kent Kramer,REP,IA,Open,Won-General,42949.04,69
State Representative,Daniel Boddicker,REP,IA,Open,Won-General,42405.09,79
State Representative,Thomas Sands,REP,IA,Open,Won-General,41738.5,87
State Senator,Dick Dearden,DEM,IA,Open,Won-General,41132.89,34
State Representative,Kurt Swaim,DEM,IA,Open,Won-General,40460.92,94
State Representative,Kenneth Baker,REP,IA,Open,Lost-General,39370.1,95
State Representative,Romaine Foege,DEM,IA,Open,Won-General,39223.16,29
State Representative,Doug Struyk,DEM,IA,Open,Won-General,39122.23,99
State Senator,Hubert Houser,REP,IA,Open,Won-General,38894.0,49
State Representative,Betty Grundberg,REP,IA,Open,Lost-General,37922.65,61
State Representative,John Whitaker,DEM,IA,Open,Won-General,37458.06,90
State Representative,Todd Taylor,DEM,IA,Open,Won-General,36983.36,34
State Representative,Kevin McCarthy,DEM,IA,Open,Won-General,35885.0,67
State Representative,Gary Hart,DEM,IA,Open,Lost-General,35621.72,31
Governor,Clyde Cleveland,LIB,IA,Challenger,Lost-General,35554.0,nan
State Representative,Donovan Olson,DEM,IA,Open,Won-General,35182.22,48
State Representative,Gerald Jones,REP,IA,Open,Won-General,35150.0,98
State Representative,Jodi Tymeson,REP,IA,Open,Won-General,34860.65,73
State Representative,Jack Drake,REP,IA,Open,Won-General,34693.75,57
State Representative,David Heaton,REP,IA,Open,Won-General,34275.0,91
State Representative,Roger Thomas,DEM,IA,Open,Won-General,32570.85,24
State Senator,Lyle Otte,DEM,IA,Open,Lost-General,32020.02,8
State Representative,Paul Bell,DEM,IA,Open,Won-General,31690.29,41
State Senator,John Ryan,DEM,IA,Open,Lost-General,31672.36,3
State Representative,Roger Wendt,DEM,IA,Open,Won-General,31638.54,2
