office,candidate,party,state,incumbency,result,total money,district
State Senator,Damon Thayer,REP,KY,Open,Won-General,354509.48,17
State Senator,Ray Jones II,DEM,KY,Incumbent,Won-General,344570.23,31
State Senator,Chris Ratliff,REP,KY,Challenger,Lost-General,316125.18,31
Supreme Court District 007,William Scott,IND,KY,Challenger,Won-General,273122.07,nan
State Senator,Jack Westwood,REP,KY,Incumbent,Won-General,259346.35,23
State Senator,Julian Carroll,DEM,KY,Open,Won-General,245661.4,7
State Senator,Carroll Gibson,REP,KY,Open,Won-General,218461.84,5
Supreme Court District 007,Janet Stumbo,IND,KY,Incumbent,Lost-General,205311.08,nan
State Senator,Harold Fletcher Jr.,REP,KY,Open,Lost-General,204213.45,7
State Senator,Dana Seum Stephenson,REP,KY,Open,Won-General,195529.15,37
State Representative,John Wilson Hampton,REP,KY,Challenger,Lost-General,162546.65,76
State Senator,Kenneth Winters,REP,KY,Open,Won-General,160523.38,1
State Senator,Denise Harper Angel,DEM,KY,Open,Won-General,159724.67,35
State Senator,Cliff Wallace,DEM,KY,Open,Lost-General,157555.0,17
State Senator,Kathryn Groob,DEM,KY,Challenger,Lost-General,155046.65,23
State Senator,Barry Cannon,DEM,KY,Open,Lost-General,152478.91,5
State Senator,Virginia Woodward,DEM,KY,Open,Lost-General,131368.64,37
State Senator,Tim Shaughnessy,DEM,KY,Incumbent,Won-General,131338.76,19
State Representative,Larry Clark,DEM,KY,Incumbent,Won-General,131199.0,46
State Representative,Harry Moberly Jr.,DEM,KY,Incumbent,Won-General,123876.0,81
State Representative,Susan Westrom,DEM,KY,Incumbent,Won-General,122391.82,79
State Representative,James Roger Thomas,DEM,KY,Incumbent,Lost-General,112984.97,21
State Senator,Dennis Null,DEM,KY,Open,Lost-General,109694.7,1
State Senator,Thomas Jensen,REP,KY,Open,Won-General,109608.97,21
State Senator,Joey Pendleton,DEM,KY,Incumbent,Won-General,107869.97,3
State Senator,Ernesto Scorsone,DEM,KY,Incumbent,Won-General,105078.18,13
State Senator,Johnny Ray Turner,DEM,KY,Incumbent,Won-General,104570.0,29
State Representative,Trace Chesser,REP,KY,Challenger,Lost-General,96819.47,46
State Representative,Howard Cornett,REP,KY,Incumbent,Won-General,94895.0,94
State Representative,Mark Hayden,REP,KY,Open,Lost-General,93677.0,67
State Representative,Melvin Henley,REP,KY,Challenger,Won-General,88331.31,5
State Representative,Ralph Alvarado,REP,KY,Challenger,Lost-General,84845.61,73
State Representative,Rick Christman,REP,KY,Challenger,Lost-General,83999.89,79
State Representative,Don Pasley,DEM,KY,Incumbent,Won-General,83292.06,73
State Representative,Charles Meade,DEM,KY,Open,Won-General,81516.54,95
State Representative,Darryl Owens,DEM,KY,Open,Won-General,81187.49,43
State Representative,Ruth Ann Palumbo,DEM,KY,Incumbent,Won-General,80984.0,76
State Representative,Jim Decesare,REP,KY,Challenger,Won-General,79003.45,21
State Senator,Richard Roeding,REP,KY,Incumbent,Won-General,78851.71,11
State Representative,Dennis Keene,DEM,KY,Open,Won-General,77590.86,67
State Representative,Robert Damron,DEM,KY,Incumbent,Won-General,76354.22,39
State Representative,Joe Barrows,DEM,KY,Incumbent,Won-General,75934.98,56
State Senator,Tim York,REP,KY,Challenger,Lost-General,75467.02,27
State Representative,Michael Czerwonka,REP,KY,Open,Lost-General,75450.0,43
State Representative,Fred Nesler,DEM,KY,Incumbent,Won-General,75280.42,2
State Representative,Thomas Thompson,DEM,KY,Incumbent,Won-General,74237.0,14
State Representative,Rob Wilkey,DEM,KY,Incumbent,Won-General,73163.5,22
State Representative,Marvin Wilson,REP,KY,Challenger,Lost-General,71717.96,6
State Representative,Milward Dedman,REP,KY,Open,Won-General,70797.78,55
State Senator,Dr Walter Blevins,DEM,KY,Incumbent,Won-General,69764.0,27
State Representative,Robert Buckingham,DEM,KY,Incumbent,Lost-General,69122.22,5
State Representative,R Gray,DEM,KY,Incumbent,Won-General,68010.64,6
State Senator,Robert Stivers,REP,KY,Incumbent,Won-General,66350.0,25
State Representative,Joe Bowen,REP,KY,Open,Won-General,64804.67,13
State Representative,Bryan Beauman,REP,KY,Challenger,Lost-General,63893.01,72
State Representative,David Floyd,REP,KY,Open,Won-General,60836.86,50
State Representative,David Eaton,DEM,KY,Challenger,Lost-General,60238.93,58
State Representative,Stan Lee,REP,KY,Incumbent,Won-General,59592.0,45
State Representative,Charles Bradley,REP,KY,Challenger,Lost-General,54913.08,62
State Representative,James Carr,DEM,KY,Open,Won-General,54879.0,8
State Representative,Robin Webb,DEM,KY,Incumbent,Won-General,54264.67,96
State Representative,Mike Weaver,DEM,KY,Incumbent,Won-General,53820.7,26
State Representative,Mitchel Denham,DEM,KY,Incumbent,Won-General,53662.89,70
State Representative,Jimmy Lykins,REP,KY,Challenger,Lost-General,53468.93,96
State Representative,Tom Jones,REP,KY,Open,Lost-General,52916.1,8
State Representative,Thomas Burch,DEM,KY,Incumbent,Won-General,52575.0,30
State Representative,Mike Harmon,REP,KY,Incumbent,Won-General,52390.2,54
State Representative,Ron Crimm,REP,KY,Incumbent,Won-General,51282.2,33
State Representative,David Sparrow,DEM,KY,Challenger,Lost-General,51126.63,54
State Representative,Charlie Hoffman,DEM,KY,Incumbent,Won-General,50214.0,62
State Representative,Brad Montell,REP,KY,Incumbent,Won-General,48847.78,58
State Representative,Charles Geveden,DEM,KY,Incumbent,Lost-General,48680.0,1
State Representative,Steven Jack Rudy,REP,KY,Challenger,Won-General,48390.85,1
State Representative,George Petty Jr.,REP,KY,Challenger,Lost-General,48369.5,2
State Representative,John Arnold Jr.,DEM,KY,Incumbent,Won-General,45497.93,7
State Senator,Christopher Smrt,REP,KY,Challenger,Lost-General,45347.81,19
State Representative,Dale Jefferson,REP,KY,Challenger,Lost-General,45277.47,70
State Representative,John Will Stacy,DEM,KY,Incumbent,Won-General,45084.36,71
State Representative,Sharon Clark,DEM,KY,Open,Lost-General,43911.26,55
State Representative,Mary Lou Marzian,DEM,KY,Incumbent,Won-General,43118.01,34
State Representative,Luke,REP,KY,Challenger,Lost-General,42278.33,81
State Representative,Donna Broadway,REP,KY,Challenger,Lost-General,42220.07,26
State Representative,Larry Belcher,DEM,KY,Challenger,Lost-General,41536.16,49
State Representative,Alan Taylor,REP,KY,Challenger,Lost-General,41389.04,7
State Senator,Vernie McGaha,REP,KY,Incumbent,Won-General,40380.31,15
State Representative,Ken Upchurch,REP,KY,Incumbent,Won-General,40285.0,52
State Representative,Scott Brinkman,REP,KY,Incumbent,Won-General,40145.0,32
State Representative,Terry Shelton,REP,KY,Challenger,Won-General,40107.33,19
State Representative,Addia Kathryn Wuchner,REP,KY,Open,Won-General,38844.0,66
State Representative,Tommy Reed,DEM,KY,Open,Lost-General,38672.83,50
State Representative,Mike Cherry,DEM,KY,Incumbent,Won-General,37064.0,4
State Representative,Dottie Sims,DEM,KY,Incumbent,Lost-General,35565.0,19
State Representative,Bruce Roberts,DEM,KY,Challenger,Lost-General,35407.82,29
State Representative,Charles Miller,DEM,KY,Incumbent,Won-General,33830.0,28
State Representative,Dwight Butler,REP,KY,Incumbent,Won-General,33800.75,18
State Representative,Carolyn Belcher,DEM,KY,Incumbent,Won-General,32880.0,72
State Representative,Thomas McKee,DEM,KY,Incumbent,Won-General,30170.0,78
State Representative,Geri Anderson,DEM,KY,Challenger,Lost-General,29216.0,32
State Representative,Royce Adams,DEM,KY,Incumbent,Won-General,28275.0,61
State Representative,Denver Butler,DEM,KY,Incumbent,Won-General,27835.99,38
State Representative,Gc Kincer Jr.,DEM,KY,Challenger,Lost-General,25147.41,94
State Representative,Charles Siler,REP,KY,Incumbent,Won-General,25089.0,82
State Representative,Tony Moreno,REP,KY,Challenger,Lost-General,25032.07,56
State Representative,Steven Riggs,DEM,KY,Incumbent,Won-General,24815.6,31
State Representative,Ralph Long,DEM,KY,Challenger,Lost-General,24807.37,45
State Representative,Jim Wayne,DEM,KY,Incumbent,Won-General,23989.83,35
State Representative,Rocky Adkins,DEM,KY,Incumbent,Won-General,23150.0,99
State Representative,Ancel Smith,DEM,KY,Incumbent,Won-General,22925.0,92
State Representative,Christopher Stansbury,REP,KY,Challenger,Lost-General,22275.8,39
State Representative,Sheldon Baugh,REP,KY,Incumbent,Won-General,20839.07,16
State Representative,Bill Bates,REP,KY,Challenger,Lost-General,20610.0,92
State Representative,James Bruce,DEM,KY,Incumbent,Won-General,20550.0,9
State Representative,Paul Hosse,REP,KY,Challenger,Lost-General,19750.16,38
State Senator,Tracy Dean Hann,REP,KY,Challenger,Lost-General,18401.59,3
State Representative,Joni Jenkins,DEM,KY,Incumbent,Won-General,18020.0,44
State Representative,Gerry Lynn,REP,KY,Challenger,Won-General,17684.07,27
State Representative,William Farmer Jr.,REP,KY,Incumbent,Won-General,17588.8,88
State Representative,Everett Thompson,DEM,KY,Open,Lost-General,17445.33,13
State Representative,Tanya Pullin,DEM,KY,Incumbent,Won-General,17350.0,98
State Representative,B Embry Jr.,REP,KY,Incumbent,Won-General,17170.89,17
State Representative,Steve Winkler,REP,KY,Challenger,Lost-General,16889.15,14
State Representative,James Thompson,DEM,KY,Incumbent,Lost-General,16613.45,27
State Representative,Rick Rand,DEM,KY,Incumbent,Won-General,16155.0,47
State Representative,Pamela Ervin Mann,REP,KY,Challenger,Lost-General,16146.23,61
State Representative,Hubert Collins,DEM,KY,Incumbent,Won-General,15800.0,97
State Senator,Richard Sanders Jr.,REP,KY,Incumbent,Won-General,15600.0,9
State Representative,Jody Richards,DEM,KY,Incumbent,Won-General,15582.11,20
State Senator,Gerald Neal,DEM,KY,Incumbent,Won-General,15025.0,33
State Representative,Larry Ashlock,DEM,KY,Challenger,Lost-General,14950.0,17
State Representative,Mary Harper,REP,KY,Incumbent,Won-General,14509.28,49
State Representative,Kevin Bratcher,REP,KY,Incumbent,Won-General,14400.0,29
State Representative,Jeff Hoover,REP,KY,Incumbent,Won-General,14200.0,83
State Representative,Adam Potter,REP,KY,Challenger,Lost-General,13726.47,22
State Representative,Arthur Green,DEM,KY,Challenger,Lost-General,13692.53,16
State Representative,Tim Couch,REP,KY,Incumbent,Won-General,12900.0,90
State Representative,Jimmy Higdon,REP,KY,Incumbent,Won-General,12878.19,24
State Representative,Jon Draud,REP,KY,Incumbent,Won-General,12460.0,63
State Representative,Wendell Keith Hall,DEM,KY,Incumbent,Won-General,11900.0,93
State Representative,Jimmie Lee,DEM,KY,Incumbent,Won-General,11400.0,25
State Representative,David Newman,REP,KY,Challenger,Lost-General,10885.06,30
State Representative,Bob Deweese,REP,KY,Incumbent,Won-General,10600.0,48
State Representative,James Gooch Jr.,DEM,KY,Incumbent,Won-General,10410.0,12
State Representative,Philip Kimball,REP,KY,Challenger,Lost-General,9412.37,34
State Representative,Fred Stubblefield,REP,KY,Challenger,Lost-General,9288.49,4
State Representative,Perry Clark,DEM,KY,Incumbent,Won-General,9230.0,37
State Representative,Marie Rader,REP,KY,Incumbent,Won-General,8865.0,89
State Representative,Charles Bell,REP,KY,Challenger,Lost-General,8705.0,35
State Representative,Ron Gambrell,REP,KY,Challenger,Lost-General,8409.96,28
State Representative,Dennis Horlander,DEM,KY,Incumbent,Won-General,7900.0,40
State Representative,Danny Ford,REP,KY,Incumbent,Won-General,7700.0,80
State Representative,Paul Marcotte,REP,KY,Incumbent,Won-General,7695.0,60
State Representative,Reginald Meeks,DEM,KY,Incumbent,Won-General,7685.0,42
State Representative,Timothy Feeley,REP,KY,Incumbent,Won-General,7575.0,59
State Representative,Rick Nelson,DEM,KY,Incumbent,Won-General,7190.77,87
State Representative,Brandon Smith,REP,KY,Incumbent,Won-General,6867.09,84
