office,candidate,party,state,incumbency,result,total money,district
Governor,Dave Heineman,REP,NE,Incumbent,Won-General,3753175.23,nan
Attorney General,Jon Bruning,REP,NE,Incumbent,Won-General,787609.24,nan
Governor,David Hahn,DEM,NE,Challenger,Lost-General,376637.76,nan
Board Of Regents District 004,Jim Nagengast,IND,NE,Open,Lost-General,217367.01,nan
State Senator,Jean Stothert,IND,NE,Open,Lost-General,137714.5,12
Secretary Of State,John Gale,REP,NE,Incumbent,Won-General,135132.51,nan
Treasurer,Shane Osborn,REP,NE,Open,Won-General,135075.15,nan
State Senator,Steve Lathrop,IND,NE,Open,Won-General,133216.39,12
State Senator,Marc Kaschke,IND,NE,Open,Lost-General,129016.94,42
Board Of Regents District 005,Jim McClurg,IND,NE,Incumbent,Won-General,122654.4,nan
Board Of Regents District 004,Bob Whitehouse,IND,NE,Open,Won-General,114843.0,nan
Board Of Regents District 008,Randy Ferlic,IND,NE,Incumbent,Won-General,104245.7,nan
Board Of Regents District 008,Carol Russell,IND,NE,Challenger,Lost-General,101543.01,nan
State Senator,Thomas White,IND,NE,Open,Won-General,100287.27,8
State Senator,Mick Mines,IND,NE,Incumbent,Won-General,96322.66,18
State Senator,Pete Pirsch,IND,NE,Open,Won-General,95040.9,4
State Senator,Brad Ashford,IND,NE,Open,Won-General,85100.0,20
State Senator,Thomas Hansen,IND,NE,Open,Won-General,81111.35,42
State Senator,Bill Avery,IND,NE,Open,Won-General,80810.49,28
State Senator,Annette Dubas,IND,NE,Open,Won-General,76413.54,34
Public Service Commissioner District 003,Tim Schram,REP,NE,Open,Won-General,76071.53,nan
State Senator,Frank Shoemaker,IND,NE,Open,Lost-General,74425.76,44
State Senator,Tony Ojeda,IND,NE,Open,Lost-General,71340.98,30
State Senator,Lynne Sarafian Anderson,IND,NE,Open,Lost-General,71010.18,6
State Senator,Kent Rogert,IND,NE,Open,Won-General,70334.16,16
State Senator,Mark Christensen,IND,NE,Open,Won-General,69591.5,44
State Senator,Jeanne Combs,IND,NE,Incumbent,Withdrew-General,68934.58,32
State Senator,Tony Sorrentino,IND,NE,Open,Lost-General,68050.16,4
State Senator,Wayne Garrison,IND,NE,Open,Lost-General,67161.12,38
State Senator,John Nelson,IND,NE,Open,Won-General,63240.0,6
Public Service Commissioner District 003,Matt Connealy,DEM,NE,Open,Lost-General,63010.42,nan
State Senator,Norman Wallman,IND,NE,Open,Won-General,62981.03,30
State Senator,Greg Adams,IND,NE,Open,Won-General,62763.71,24
State Senator,Dave Pankonin,IND,NE,Open,Won-General,60731.28,2
State Senator,John Wightman,IND,NE,Open,Won-General,58501.01,36
State Senator,Tom Carlson,IND,NE,Open,Won-General,58326.28,38
State Senator,Bob Swanson,IND,NE,Open,Lost-General,57005.71,28
State Senator,John Harms,IND,NE,Open,Won-General,56412.32,48
State Senator,Danielle Nantkes,IND,NE,Open,Won-General,56144.88,46
State Senator,Mike Friend,IND,NE,Incumbent,Won-General,50871.56,10
State Senator,Tim Gay,IND,NE,Open,Won-General,50814.99,14
State Senator,George Schlothauer,IND,NE,Open,Lost-General,50735.0,48
State Senator,Greg Senkbile,IND,NE,Open,Lost-General,49839.27,34
State Senator,Amanda McGill,IND,NE,Open,Won-General,47468.74,26
Board Of Regents District 005,Robert Prokop,IND,NE,Challenger,Lost-General,46924.55,nan
State Senator,Arnie Stuthman,IND,NE,Incumbent,Won-General,45085.7,22
State Senator,Steve Guittar,IND,NE,Open,Lost-General,44837.24,26
State Senator,Marc Kraft,IND,NE,Open,Lost-General,43049.0,8
State Senator,Cap Dierks,IND,NE,Open,Won-General,43027.34,40
State Senator,Curt Friesen,IND,NE,Open,Lost-General,42762.76,24
Auditor,Mike Foley,REP,NE,Challenger,Won-General,42512.24,nan
State Senator,Russell Karpisek,IND,NE,Open,Won-General,39582.69,32
State Senator,Carol Brown,IND,NE,Open,Lost-General,34435.71,46
Public Service Commissioner District 001,Frank Landis Jr.,REP,NE,Incumbent,Won-General,31304.7,nan
State Senator,Ron Schwab,BY PETITION,NE,Open,Lost-General,27769.37,32
State Senator,Carol Casey,IND,NE,Open,Lost-General,24801.9,20
State Senator,Jerry Bond,IND,NE,Open,Lost-General,23252.01,2
Board Of Education District 008,Joseph Higgins,IND,NE,Incumbent,Won-General,20261.0,nan
State Senator,Dick Pierce,IND,NE,Open,Lost-General,19186.43,36
Secretary Of State,Jay Stoddard,DEM,NE,Challenger,Lost-General,18137.0,nan
Board Of Education District 005,Patricia Timm,IND,NE,Incumbent,Won-General,18050.5,nan
Auditor,Kate Witek,DEM,NE,Incumbent,Lost-General,17302.58,nan
Board Of Education District 007,Kandy Imes,IND,NE,Incumbent,Won-General,16512.6,nan
Board Of Education District 006,Fred Meyer,IND,NE,Incumbent,Won-General,15125.0,nan
State Senator,Ian Hartfield,IND,NE,Open,Lost-General,10865.49,14
Board Of Education District 005,Alan Jacobsen,IND,NE,Challenger,Lost-General,8234.92,nan
State Senator,Robert Wimberley,IND,NE,Challenger,Lost-General,3120.0,10
Board Of Regents District 003,Chuck Hassebrook,IND,NE,Incumbent,Won-General,170.0,nan
State Senator,Jeff Bush,IND,NE,Open,Lost-General,0.0,16
Board Of Education District 006,Marilyn Carpenter,IND,NE,Challenger,Lost-General,0.0,nan
Board Of Education District 008,Dick Galusha,IND,NE,Challenger,Lost-General,0.0,nan
Treasurer,John Gathings,NEBRASKA,NE,Open,Lost-General,0.0,nan
Public Service Commissioner District 001,Charlie Matulka,DEM,NE,Challenger,Lost-General,0.0,nan
State Senator,Tom Noecker,IND,NE,Open,Lost-General,0.0,40
Board Of Education District 007,Paula Pfister,IND,NE,Challenger,Lost-General,0.0,nan
Governor,Barry Richards,NEBRASKA,NE,Challenger,Lost-General,0.0,nan
Auditor,Kelly Renee Rosberg,NEBRASKA,NE,Challenger,Lost-General,0.0,nan
State Senator,Scott Yahnke,IND,NE,Challenger,Lost-General,0.0,18
Auditor,Steve Larrick,GRN,NE,Challenger,Lost-General,0.0,nan
Secretary Of State,Doug Paterson,GRN,NE,Challenger,Lost-General,0.0,nan
Governor,Mort Sullivan,BY PETITION,NE,Challenger,Lost-General,0.0,nan
Board Of Regents District 007,Bob Phares,IND,NE,Incumbent,Won-General,0.0,nan
Supreme Court District 004,Michael McCormack,IND,NE,Incumbent,Won-Retention,0.0,nan
Supreme Court District 001,Kenneth Stephan,IND,NE,Incumbent,Won-Retention,0.0,nan
