office,candidate,party,state,incumbency,result,total money,district
Representative Third Suffolk,Salvatore Dimasi,DEM,MA,Incumbent,Won-General,918726.95,nan
Senator Plymouth And Barnstable,Therese Murray,DEM,MA,Incumbent,Won-General,744840.81,nan
Representative Nineteenth Suffolk,Robert Deleo,DEM,MA,Incumbent,Won-General,477360.43,nan
Senator Middlesex And Worcester,James Eldridge,DEM,MA,Open,Won-General,371202.23,nan
Senator First Suffolk,John Hart Jr.,DEM,MA,Incumbent,Won-General,311137.92,nan
Senator First Suffolk And Middlesex,Anthony Petruccelli,DEM,MA,Incumbent,Won-General,282368.12,nan
Senator Middlesex And Essex,Richard Tisei,REP,MA,Incumbent,Won-General,262596.46,nan
Senator First Bristol And Plymouth,Joan Menard,DEM,MA,Incumbent,Won-General,250158.95,nan
Senator Norfolk And Plymouth,Michael Morrissey,DEM,MA,Incumbent,Won-General,229484.0,nan
Representative Seventh Hampden,Thomas Petrolati,DEM,MA,Incumbent,Won-General,229389.0,nan
Senator Second Suffolk,Sonia Chang-Diaz,DEM,MA,Open,Won-General,218712.52,nan
Senator First Essex,Steven Baddour,DEM,MA,Incumbent,Won-General,218043.5,nan
Representative Twelfth Norfolk,John Rogers,DEM,MA,Incumbent,Won-General,217110.58,nan
"Senator Norfolk, Bristol And Plymouth",Brian Joyce,DEM,MA,Incumbent,Won-General,216277.16,nan
"Senator Norfolk, Bristol And Middlesex",Scott Brown,REP,MA,Incumbent,Won-General,212577.93,nan
Senator Hampden,Stephen Buoniconti,DEM,MA,Incumbent,Won-General,206955.5,nan
Senator Worcester And Norfolk,Richard Moore,DEM,MA,Incumbent,Won-General,204695.45,nan
Representative Sixth Bristol,David Sullivan,DEM,MA,Incumbent,Won-General,198212.99,nan
Senator Fourth Middlesex,Kenneth Donnelly,DEM,MA,Open,Won-General,195451.16,nan
Representative Thirty-Fifth Middlesex,Paul Donato,DEM,MA,Incumbent,Won-General,194587.39,nan
Senator Second Suffolk And Middlesex,Steven Tolman,DEM,MA,Incumbent,Won-General,189946.0,nan
Representative Tenth Middlesex,Peter Koutoujian,DEM,MA,Incumbent,Won-General,189110.03,nan
Representative Third Norfolk,Ronald Mariano,DEM,MA,Incumbent,Won-General,181194.0,nan
Senator Hampshire And Franklin,Stanley Rosenberg,DEM,MA,Incumbent,Won-General,175732.9,nan
Representative Eighth Bristol,Michael Rodrigues,DEM,MA,Incumbent,Won-General,169308.65,nan
Senator First Plymouth And Bristol,Marc Richard Pacheco,DEM,MA,Incumbent,Won-General,160602.5,nan
Senator Bristol And Norfolk,James Timilty,DEM,MA,Incumbent,Won-General,159210.44,nan
Senator Second Worcester,Michael Moore,DEM,MA,Open,Won-General,156880.88,nan
Senator First Middlesex,Steven Panagiotakos,DEM,MA,Incumbent,Won-General,155132.43,nan
Senator First Worcester,Harriette Chandler,DEM,MA,Incumbent,Won-General,153110.19,nan
Senator First Hampden And Hampshire,Gale Candaras,DEM,MA,Incumbent,Won-General,152684.04,nan
Representative Thirteenth Suffolk,Martin Walsh,DEM,MA,Incumbent,Won-General,147100.0,nan
Representative Thirty-First Middlesex,Jason Lewis,DEM,MA,Open,Won-General,147003.72,nan
"Senator Norfolk, Bristol And Middlesex",Sara Orozco,DEM,MA,Challenger,Lost-General,146728.1,nan
Representative Twelfth Hampden,Angelo Puppolo Jr.,DEM,MA,Incumbent,Won-General,141143.84,nan
Representative Third Essex,Brian Dempsey,DEM,MA,Incumbent,Won-General,140490.2,nan
"Senator Berkshire, Hampshire And Franklin",Benjamin Brackett Downing,DEM,MA,Incumbent,Won-General,137387.65,nan
Representative Fifth Suffolk,Marie St Fleur,DEM,MA,Incumbent,Won-General,136670.44,nan
"Senator Middlesex, Suffolk And Essex",Anthony Galluccio,DEM,MA,Incumbent,Won-General,136571.95,nan
Senator Second Bristol And Plymouth,Mark Montigny,DEM,MA,Incumbent,Won-General,135102.0,nan
Senator Worcester And Middlesex,Jennifer Flanagan,DEM,MA,Open,Won-General,134476.12,nan
Representative Fifth Barnstable,Jeffrey Davis Perry,REP,MA,Incumbent,Won-General,132681.95,nan
Senator Second Essex,Frederick Berry,DEM,MA,Incumbent,Won-General,132615.43,nan
Representative Seventeenth Worcester,John Binienda Sr.,DEM,MA,Incumbent,Won-General,131365.0,nan
Representative Third Plymouth,Garrett James Bradley,DEM,MA,Incumbent,Won-General,128450.99,nan
Senator Suffolk And Norfolk,Marian Walsh,DEM,MA,Incumbent,Won-General,125590.0,nan
Representative Twentieth Middlesex,Bradley Jones Jr.,REP,MA,Incumbent,Won-General,125117.31,nan
Representative Thirty-Fourth Middlesex,Carl Sciortino Jr.,DEM,MA,Incumbent,Won-General,123729.3,nan
Representative Thirteenth Worcester,Robert Spellane,DEM,MA,Incumbent,Won-General,119124.86,nan
Senator Third Middlesex,Sandra Martinez,REP,MA,Challenger,Lost-General,115995.06,nan
Senator Second Hampden And Hampshire,Michael Knapik,REP,MA,Incumbent,Won-General,114995.04,nan
Representative Seventh Norfolk,Walter Timilty,DEM,MA,Incumbent,Won-General,114819.0,nan
Representative Twelfth Worcester,Harold Naughton Jr.,DEM,MA,Incumbent,Won-General,112794.53,nan
Representative Second Suffolk,Eugene Oflaherty,DEM,MA,Incumbent,Won-General,112429.0,nan
"Senator Worcester, Hampden, Hampshire And Franklin",Stephen Brewer,DEM,MA,Incumbent,Won-General,110286.11,nan
Representative Twenty-Ninth Middlesex,Jonathan Hecht,DEM,MA,Open,Won-General,108681.3,nan
Representative Seventh Essex,John Keenan,DEM,MA,Incumbent,Won-General,108581.48,nan
Representative Eleventh Worcester,Karyn Polito,REP,MA,Incumbent,Won-General,108441.0,nan
Representative Fourth Barnstable,Sarah Peake,DEM,MA,Incumbent,Won-General,107251.28,nan
Representative Eighth Middlesex,Dan Haley,REP,MA,Open,Lost-General,106187.41,nan
Representative Sixteenth Middlesex,Thomas Golden Jr.,DEM,MA,Incumbent,Won-General,103474.0,nan
Senator Third Middlesex,Susan Fargo,DEM,MA,Incumbent,Won-General,102300.96,nan
Representative Sixth Worcester,Geraldo Alicea,DEM,MA,Incumbent,Won-General,101746.76,nan
Representative Seventeenth Suffolk,Kevin Honan,DEM,MA,Incumbent,Won-General,98586.47,nan
Representative First Essex,Michael Costello,DEM,MA,Incumbent,Won-General,97046.74,nan
Representative First Suffolk,Carlo Basile,DEM,MA,Incumbent,Won-General,96930.0,nan
Representative Tenth Norfolk,James Vallee,DEM,MA,Incumbent,Won-General,95538.46,nan
