office,candidate,party,state,incumbency,result,total money,district
Governor,Brian Schweitzer,DEM,MT,Incumbent,Won-General,1843566.9,nan
Governor,Roy Brown,REP,MT,Challenger,Lost-General,747962.3,nan
Attorney General,Stephen Clark Bullock,DEM,MT,Open,Won-General,442456.98,nan
Attorney General,Timothy Fox,REP,MT,Open,Lost-General,333181.5,nan
Supreme Court-Chief Justice,Mike McGrath,IND,MT,Open,Won-General,203082.0,nan
Secretary Of State,Linda McCulloch,DEM,MT,Challenger,Won-General,184864.66,nan
Auditor,Monica Lindeen,DEM,MT,Open,Won-General,159539.42,nan
Superintendent Of Public Instruction,Denise Juneau,DEM,MT,Open,Won-General,151408.94,nan
Secretary Of State,Brad Johnson,REP,MT,Incumbent,Lost-General,145082.52,nan
Supreme Court-Chief Justice,Ronald Waterman,IND,MT,Open,Lost-General,130803.57,nan
Auditor,Duane Grimes,REP,MT,Open,Lost-General,128345.61,nan
Superintendent Of Public Instruction,Elaine Sallie Herman,REP,MT,Open,Lost-General,91283.53,nan
State Senator,Lane Larson,DEM,MT,Incumbent,Lost-General,73827.07,22
State Senator,Taylor Brown,REP,MT,Challenger,Won-General,71715.48,22
State Senator,Christine Kaufmann,DEM,MT,Incumbent,Won-General,51370.02,41
State Senator,John Brenden,REP,MT,Open,Won-General,46340.49,18
State Senator,Ryan Zinke,REP,MT,Open,Won-General,40125.37,2
Public Service Commissioner District 004,Gail Lynn Gutsche,DEM,MT,Challenger,Won-General,37497.45,nan
State Senator,Shirley Baumgartner,DEM,MT,Open,Lost-General,36274.23,18
Public Service Commissioner District 002,Ron Tussing,DEM,MT,Challenger,Lost-General,35543.0,nan
State Senator,Brittany Maclean Kasselder,DEM,MT,Open,Lost-General,34484.44,2
State Representative,Charles Hunter,DEM,MT,Open,Won-General,30279.0,79
State Senator,Bruce Tutvedt,REP,MT,Open,Won-General,28480.74,3
State Representative,Tom Burnett,REP,MT,Challenger,Lost-General,28221.0,63
State Representative,Jim Elliott,DEM,MT,Challenger,Lost-General,28206.21,13
State Representative,Jennifer Pomnichowski,DEM,MT,Incumbent,Won-General,26983.12,63
State Representative,Scott Mendenhall,REP,MT,Incumbent,Won-General,26255.82,77
State Representative,Cheryl Steenson,DEM,MT,Challenger,Won-General,25834.73,8
State Representative,Anders Blewett,DEM,MT,Open,Won-General,25760.0,21
State Representative,Susan Anderson,REP,MT,Challenger,Lost-General,25611.42,51
State Representative,Bill Nooney,REP,MT,Incumbent,Won-General,24913.33,100
Public Service Commissioner District 002,Brad Molnar,REP,MT,Incumbent,Won-General,23900.32,nan
State Representative,Mike Jopek,DEM,MT,Incumbent,Won-General,23410.0,4
State Senator,Gary Branae,DEM,MT,Open,Won-General,23372.73,27
State Representative,Ross Keogh,DEM,MT,Open,Lost-General,22620.75,60
State Senator,Lynda Bourque Moss,DEM,MT,Incumbent,Won-General,22580.34,26
