office,candidate,party,state,incumbency,result,total money,district
State Senator,Ken Yager,REP,TN,Open,Won-General,556946.34,12
State Senator,Dolores Gresham,REP,TN,Open,Won-General,506386.26,26
State Senator,Jim Tracy,REP,TN,Incumbent,Won-General,504123.36,16
State Senator,Randy Camp,DEM,TN,Open,Lost-General,475401.07,26
State Senator,Roy Brasfield Herron,DEM,TN,Incumbent,Won-General,473295.26,24
State Senator,Mike Faulk,REP,TN,Challenger,Won-General,438159.83,4
State Senator,Ronald Ramsey,REP,TN,Incumbent,Won-General,398133.03,2
State Senator,Jamie Woodson,REP,TN,Incumbent,Won-General,337935.0,6
State Senator,Diane Lynn Black,REP,TN,Incumbent,Won-General,304283.34,18
State Senator,Douglas Overbey,REP,TN,Open,Won-General,296868.0,8
State Senator,Becky Ruppe,DEM,TN,Open,Lost-General,296785.96,12
State Senator,Rosalind Kurita,DEM,TN,Incumbent,Lost-General,294026.5,22
State Representative,Gary Odom,DEM,TN,Incumbent,Won-General,243975.88,55
State Senator,Tim Barnes,DEM,TN,Challenger,Won-General,242857.0,22
State Senator,Eric Stewart,DEM,TN,Open,Won-General,237530.68,14
State Senator,Micheal Williams,IND,TN,Incumbent,Lost-General,236797.0,4
State Senator,Mark Norris,REP,TN,Incumbent,Won-General,226122.37,32
State Representative,Albert McCall,REP,TN,Challenger,Lost-General,225106.67,46
State Senator,Joe Haynes,DEM,TN,Incumbent,Won-General,220383.02,20
State Senator,Andy Berke,DEM,TN,Incumbent,Won-General,216121.43,10
State Senator,James Kyle Jr.,DEM,TN,Incumbent,Won-General,210650.0,28
State Representative,Jason Mumpower,REP,TN,Incumbent,Won-General,195973.03,3
State Representative,Judy Barker,DEM,TN,Open,Won-General,194448.18,77
State Senator,Jean Anne Rogers,DEM,TN,Challenger,Lost-General,192217.24,16
State Senator,Jim Hawkins,DEM,TN,Challenger,Lost-General,191979.27,18
State Representative,Jimmy Naifeh,DEM,TN,Incumbent,Won-General,176450.0,81
State Representative,James Thomas Dubois,REP,TN,Incumbent,Lost-General,168315.9,64
State Representative,Kent Coleman,DEM,TN,Incumbent,Won-General,133318.13,49
State Representative,Eddie Yokley,DEM,TN,Incumbent,Won-General,132810.04,11
State Representative,John Greeter,DEM,TN,Challenger,Lost-General,132764.45,47
State Representative,Vance Dennis,REP,TN,Open,Won-General,129431.86,71
State Senator,Mike Niederhauser,REP,TN,Open,Lost-General,127478.16,14
State Representative,Curtis Halford,REP,TN,Open,Won-General,126407.39,79
State Representative,Jim Hackworth,DEM,TN,Incumbent,Won-General,121898.16,33
State Representative,Michael Stewart,DEM,TN,Open,Won-General,120813.0,52
State Representative,Tony Shipley,REP,TN,Challenger,Won-General,119140.53,2
