office,candidate,party,state,incumbency,result,total money,district
U.S. Senator,Daniel Inouye,DEM,HI,Incumbent,Won-General,5641527.0,nan
Governor,Neil Abercrombie,DEM,HI,Open,Won-General,5483910.93,nan
U.S. Representative,Charles Djou,REP,HI,Incumbent,Lost-General,2714507.4,1
U.S. Representative,Mazie Hirono,DEM,HI,Incumbent,Won-General,968319.85,2
Governor,Duke Aiona,REP,HI,Open,Lost-General,395090.51,nan
State Senator,Donovan Dela Cruz,DEM,HI,Open,Won-General,231364.59,22
U.S. Senator,Campbell Cavasso,REP,HI,Challenger,Lost-General,213304.15,nan
State Senator,Brian Taniguchi,DEM,HI,Incumbent,Won-General,152964.56,10
State Senator,Carol Fukunaga,DEM,HI,Incumbent,Default Winner-General,136893.04,11
State Senator,Shan Tsutsui,DEM,HI,Incumbent,Won-General,119386.64,4
State Senator,Donna Mercado Kim,DEM,HI,Incumbent,Won-General,109116.64,14
State Representative,David Y Chang,REP,HI,Challenger,Lost-General,98791.81,28
State Senator,Jill Tokuda,DEM,HI,Incumbent,Won-General,93676.46,24
State Senator,Gabbard,DEM,HI,Incumbent,Won-General,82007.33,19
State Representative,Kyle Mark Takai,DEM,HI,Incumbent,Won-General,81930.0,34
State Representative,Linda Ichiyama,DEM,HI,Open,Won-General,77856.11,31
State Representative,Marcus Oshiro,DEM,HI,Incumbent,Won-General,70244.74,39
State Representative,Ryan Yamane,DEM,HI,Incumbent,Won-General,68574.78,37
State Representative,Blake Oshiro,DEM,HI,Incumbent,Won-General,67594.16,33
State Representative,Barbara Marumoto,REP,HI,Incumbent,Default Winner-General,66575.0,19
State Representative,Joseph Souki,DEM,HI,Incumbent,Won-General,63195.0,8
State Senator,Les Ihara Jr.,DEM,HI,Incumbent,Won-General,62455.38,9
State Representative,Aaron Ling Johanson,REP,HI,Open,Won-General,62146.57,32
State Senator,Ronald Kouchi,DEM,HI,Open,Won-General,60605.0,7
State Senator,Glenn Wakai,DEM,HI,Open,Won-General,60365.0,15
State Representative,Calvin Y Say,DEM,HI,Incumbent,Won-General,60229.32,20
State Senator,William Espero,DEM,HI,Incumbent,Won-General,59821.95,20
State Senator,Tracy Nakano Bean,REP,HI,Challenger,Lost-General,59263.08,24
State Representative,Chris Baron,REP,HI,Open,Lost-General,57925.77,18
State Representative,Jessica Wooley,DEM,HI,Incumbent,Won-General,55241.02,47
State Representative,Gene Ward,REP,HI,Incumbent,Default Winner-General,55198.0,17
State Representative,Karl Rhoads,DEM,HI,Incumbent,Won-General,55159.5,28
State Senator,Russell Kokubun,DEM,HI,Incumbent,Won-General,54825.0,2
State Representative,Marlene Hapai,REP,HI,Challenger,Lost-General,53905.05,4
State Representative,Clifton Tsuji,DEM,HI,Incumbent,Won-General,53731.31,3
State Representative,John Mizuno,DEM,HI,Incumbent,Won-General,52930.0,30
State Representative,Sharon Har,DEM,HI,Incumbent,Won-General,52301.02,40
State Representative,Robert Herkes,DEM,HI,Incumbent,Won-General,52200.0,5
State Representative,Ken Ito,DEM,HI,Incumbent,Won-General,52115.0,48
State Representative,Kyle Yamashita,DEM,HI,Incumbent,Won-General,50533.77,12
State Representative,Gil Coloma Keith-Agaran,DEM,HI,Open,Won-General,48208.55,9
State Representative,Richard Lee Fale,REP,HI,Challenger,Lost-General,47760.04,47
State Senator,Suzanne J Chun Oakland,DEM,HI,Incumbent,Won-General,44526.66,13
State Representative,Kymberly Pine,REP,HI,Incumbent,Won-General,44115.0,43
State Representative,Jerry Chang,DEM,HI,Incumbent,Won-General,43450.0,2
