office,candidate,party,state,incumbency,result,total money,district
State Senator,Richard Codey,DEM,NJ,Incumbent,Won-General,3643147.86,27
State Senator,Stephen Sweeney,DEM,NJ,Incumbent,Won-General,2754892.53,3
State Senator,Paul Sarlo,DEM,NJ,Incumbent,Won-General,2002470.78,36
State Senator,Vince Polistina,REP,NJ,Challenger,Lost-General,1985870.11,2
State Senator,James Whelan,DEM,NJ,Incumbent,Won-General,1651126.6,2
State Senator,Thomas Kean Jr.,REP,NJ,Incumbent,Won-General,1589532.69,21
State Senator,Joseph Kyrillos Jr.,REP,NJ,Incumbent,Won-General,1423372.58,13
State Senator,Raymond Lesniak,DEM,NJ,Incumbent,Won-General,1325070.48,20
State Senator,Robert Smith,DEM,NJ,Incumbent,Won-General,1303086.7,17
State Senator,Shirley Turner,DEM,NJ,Incumbent,Won-General,1249877.32,15
State Senator,Robert Gordon,DEM,NJ,Incumbent,Won-General,1229741.28,38
State Senator,Barbara Buono,DEM,NJ,Incumbent,Won-General,1228604.92,18
State Representative,Joseph Cryan,DEM,NJ,Incumbent,Won-General,1227531.05,20
State Representative,Troy Singleton,DEM,NJ,Incumbent,Won-General,1152556.36,7
State Senator,Kevin Otoole,REP,NJ,Incumbent,Won-General,1144660.05,40
State Representative,Louis Greenwald,DEM,NJ,Incumbent,Won-General,1085571.26,6
State Senator,John Driscoll Jr.,REP,NJ,Challenger,Lost-General,1063323.28,38
State Representative,Gary Schaer,DEM,NJ,Incumbent,Won-General,1058546.35,36
State Senator,Donald Norcross,DEM,NJ,Incumbent,Won-General,1021817.88,5
State Senator,Nicholas Scutari,DEM,NJ,Incumbent,Won-General,975475.25,22
State Representative,John Wisniewski,DEM,NJ,Incumbent,Won-General,882223.25,19
State Representative,Upendra Chivukula,DEM,NJ,Incumbent,Won-General,875869.62,17
State Senator,Nelida Pou,DEM,NJ,Open,Won-General,738832.16,35
State Representative,Jon Bramnick,REP,NJ,Incumbent,Won-General,730784.71,21
State Representative,Alex Decroce,REP,NJ,Incumbent,Won-General,720522.34,26
State Representative,Sheila Oliver,DEM,NJ,Incumbent,Won-General,716146.42,34
State Representative,John Amodeo,REP,NJ,Incumbent,Won-General,620347.61,2
State Senator,Anthony Bucco,REP,NJ,Incumbent,Won-General,591198.14,25
State Senator,Christopher Bateman,REP,NJ,Incumbent,Won-General,581727.96,16
State Senator,Gerald Cardinale,REP,NJ,Incumbent,Won-General,580974.97,39
State Representative,Wayne Deangelo,DEM,NJ,Incumbent,Won-General,571056.6,14
State Senator,Diane Allen,REP,NJ,Incumbent,Won-General,567689.91,7
State Senator,Joseph Pennacchio,REP,NJ,Incumbent,Won-General,564708.9,26
State Senator,Robert Singer,REP,NJ,Incumbent,Won-General,555253.27,30
State Senator,Steven Oroho,REP,NJ,Incumbent,Won-General,552410.3,24
State Senator,Jeff Van Drew,DEM,NJ,Incumbent,Won-General,551570.87,1
State Senator,Brian Stack,DEM,NJ,Incumbent,Won-General,545988.55,33
State Representative,John McKeon,DEM,NJ,Incumbent,Won-General,539350.33,27
State Senator,Nicholas Sacco,DEM,NJ,Incumbent,Won-General,532921.07,32
State Senator,Nia Gill,DEM,NJ,Incumbent,Won-General,528351.82,34
State Senator,Jennifer Beck,REP,NJ,Open,Won-General,519322.41,11
State Senator,Fred Madden,DEM,NJ,Incumbent,Won-General,503932.63,4
State Representative,Bonnie Watson Coleman,DEM,NJ,Incumbent,Won-General,500706.32,15
State Senator,Linda Greenstein,DEM,NJ,Incumbent,Won-General,475015.95,14
State Representative,Herbert Conaway Jr.,DEM,NJ,Incumbent,Won-General,461269.93,7
State Representative,Concetta Wagner,DEM,NJ,Incumbent,Won-General,446740.21,38
State Representative,John Burzichelli,DEM,NJ,Incumbent,Won-General,445705.03,3
State Representative,Gerald Green,DEM,NJ,Incumbent,Won-General,437138.49,22
State Senator,Joseph Vitale,DEM,NJ,Incumbent,Won-General,429367.28,19
State Representative,Joseph Egan,DEM,NJ,Incumbent,Won-General,424462.47,17
State Senator,Sandra Bolden Cunningham,DEM,NJ,Incumbent,Won-General,420628.84,31
State Representative,Joseph Malone III,REP,NJ,Challenger,Withdrew-General,420144.14,7
State Representative,David Rible,REP,NJ,Open,Won-General,412573.91,30
State Representative,Annette Quijano,DEM,NJ,Incumbent,Won-General,404165.24,20
State Senator,Ronald Rice,DEM,NJ,Incumbent,Won-General,397015.3,28
State Representative,Patrick Diegnan Jr.,DEM,NJ,Incumbent,Won-General,389505.84,18
State Representative,Mary Pat Angelini,REP,NJ,Incumbent,Won-General,387950.68,11
State Representative,Jay Webber,REP,NJ,Incumbent,Won-General,376436.7,26
