office,candidate,party,state,incumbency,result,total money,district
U.S. Representative,William Bloomfield Jr.,IND,CA,Challenger,Lost-General,11663344.0,33
U.S. Senator,Dianne Feinstein,DEM,CA,Incumbent,Won-General,7827120.37,nan
U.S. Representative,Kevin McCarthy,REP,CA,Incumbent,Won-General,4921549.0,23
U.S. Representative,Howard Berman,DEM,CA,Incumbent,Lost-General,4643399.7,30
State Representative,Ken Cooley,DEM,CA,Open,Won-General,4112876.04,8
U.S. Representative,Ami Bera,DEM,CA,Challenger,Won-General,3642584.95,7
State Senator,Richard Roth,DEM,CA,Open,Won-General,3400687.74,31
U.S. Representative,Lois Capps,DEM,CA,Incumbent,Won-General,3369178.6,24
U.S. Representative,Jeff Denham,REP,CA,Incumbent,Won-General,3137082.3,10
U.S. Representative,Ricky Gill,REP,CA,Challenger,Lost-General,3096558.82,9
State Senator,Fran Pavley,DEM,CA,Incumbent,Won-General,3060069.61,27
U.S. Representative,Edward Royce Sr.,REP,CA,Incumbent,Won-General,2861503.69,39
U.S. Representative,Daniel Lungren,REP,CA,Incumbent,Lost-General,2816448.8,7
U.S. Representative,Brian Bilbray,REP,CA,Incumbent,Lost-General,2770042.94,52
U.S. Representative,Nancy Pelosi,DEM,CA,Incumbent,Won-General,2717675.69,12
State Representative,John Perez,DEM,CA,Incumbent,Won-General,2617341.52,53
State Senator,Cathleen Galgiani,DEM,CA,Open,Won-General,2616638.2,5
U.S. Representative,Darrell Issa,REP,CA,Incumbent,Won-General,2601678.97,49
U.S. Representative,Jerry McNerney,DEM,CA,Incumbent,Won-General,2575975.4,9
U.S. Representative,Brad Sherman,DEM,CA,Incumbent,Won-General,2444587.34,30
U.S. Representative,Tony Strickland,REP,CA,Open,Lost-General,2395883.62,26
U.S. Representative,Mary Bono Mack,REP,CA,Incumbent,Lost-General,2346473.6,36
State Representative,Al Muratsuchi,DEM,CA,Open,Won-General,2329905.49,66
State Senator,Bill Berryhill,REP,CA,Open,Lost-General,2305852.64,5
U.S. Representative,Julia Brownley,DEM,CA,Open,Won-General,2160278.75,26
State Representative,Betsy Butler,DEM,CA,Incumbent,Lost-General,2146324.68,50
State Senator,Todd Zink,REP,CA,Challenger,Lost-General,2120271.23,27
U.S. Representative,John Garamendi,DEM,CA,Incumbent,Won-General,2091853.61,3
State Representative,Michael Allen,DEM,CA,Incumbent,Lost-General,2075397.05,10
U.S. Representative,Raul Ruiz,DEM,CA,Challenger,Won-General,2007357.96,36
State Senator,Jeff Miller,REP,CA,Open,Lost-General,2007242.59,31
State Representative,Jose Medina,DEM,CA,Open,Won-General,1965637.66,61
U.S. Representative,Abel Maldonado,REP,CA,Challenger,Lost-General,1938124.08,24
U.S. Representative,Henry Waxman,DEM,CA,Incumbent,Won-General,1860255.34,33
U.S. Representative,Xavier Becerra,DEM,CA,Incumbent,Won-General,1833676.66,34
U.S. Representative,Jose Hernandez,DEM,CA,Challenger,Lost-General,1804298.85,10
U.S. Representative,Mike Thompson,DEM,CA,Incumbent,Won-General,1789143.34,5
U.S. Representative,Howard McKeon,REP,CA,Incumbent,Won-General,1789130.67,25
U.S. Representative,Loretta Sanchez,DEM,CA,Incumbent,Won-General,1696904.4,46
State Senator,Robert Huff,REP,CA,Incumbent,Won-General,1581432.29,29
U.S. Representative,Devin Nunes,REP,CA,Incumbent,Won-General,1553457.77,22
State Representative,Edwin Chau,DEM,CA,Open,Won-General,1552687.91,49
U.S. Representative,Mark Takano,DEM,CA,Open,Won-General,1496672.28,41
U.S. Representative,Jim Costa,DEM,CA,Incumbent,Won-General,1467714.85,16
U.S. Representative,Anna Eshoo,DEM,CA,Incumbent,Won-General,1465288.94,18
U.S. Representative,Judy Chu,DEM,CA,Incumbent,Won-General,1454733.41,27
State Representative,Connie Conway,REP,CA,Incumbent,Won-General,1454548.85,26
U.S. Representative,Gary Delong,REP,CA,Open,Lost-General,1451267.09,47
State Representative,Rudy Salas,DEM,CA,Open,Won-General,1440136.59,32
State Representative,Matthew C Lin,REP,CA,Open,Lost-General,1433852.68,49
State Representative,Craig Huey,REP,CA,Open,Lost-General,1370164.41,66
U.S. Representative,John Tavaglione,REP,CA,Open,Lost-General,1366808.13,41
U.S. Representative,David Valadao,REP,CA,Open,Won-General,1343375.01,21
State Senator,Hannah-Beth Jackson,DEM,CA,Open,Won-General,1336490.96,19
U.S. Representative,Adam Schiff,DEM,CA,Incumbent,Won-General,1308435.14,28
State Senator,Roderick Wright,DEM,CA,Incumbent,Won-General,1261595.83,35
U.S. Representative,Gary Miller,REP,CA,Incumbent,Won-General,1248464.22,31
State Representative,Mike Gatto,DEM,CA,Incumbent,Won-General,1228923.97,43
U.S. Representative,John Campbell,REP,CA,Incumbent,Won-General,1226811.79,45
U.S. Representative,Kim Vann,REP,CA,Challenger,Lost-General,1223249.67,3
U.S. Representative,Tom McClintock,REP,CA,Incumbent,Won-General,1211476.27,4
State Senator,Jerry Hill,DEM,CA,Open,Won-General,1210490.66,13
U.S. Representative,Alan Lowenthal,DEM,CA,Open,Won-General,1195308.76,47
U.S. Representative,Philip Laurence Liberatore,REP,CA,Open,Lost-Top Two Primary,1175508.0,8
State Representative,Michael Breyer,DEM,CA,Open,Lost-General,1167602.27,19
U.S. Representative,Barbara Lee,DEM,CA,Incumbent,Won-General,1165628.08,13
State Representative,Peter Tateishi,REP,CA,Open,Lost-General,1163524.72,8
State Representative,Henry Perea,DEM,CA,Incumbent,Won-General,1155650.61,31
State Senator,Mimi Walters,REP,CA,Incumbent,Won-General,1126282.01,37
U.S. Representative,Linda Sanchez,DEM,CA,Incumbent,Won-General,1120923.89,38
State Representative,Pedro Rios,REP,CA,Open,Lost-General,1099005.54,32
U.S. Representative,Ken Calvert,REP,CA,Incumbent,Won-General,1091768.17,42
U.S. Representative,Stacey Lawson,DEM,CA,Open,Lost-Top Two Primary,1089510.6,2
U.S. Representative,Juan Vargas,DEM,CA,Open,Won-General,1086283.0,51
State Representative,Raul Bocanegra,DEM,CA,Open,Won-General,1063832.46,39
State Representative,Adam Gray,DEM,CA,Open,Won-General,1050571.67,21
U.S. Representative,Joe Baca Jr.,DEM,CA,Incumbent,Lost-General,1045062.22,35
State Representative,Richard Pan,DEM,CA,Incumbent,Won-General,1009288.45,9
State Senator,Mark Leno,DEM,CA,Incumbent,Won-General,991517.73,11
State Representative,Phil Ting,DEM,CA,Open,Won-General,986103.31,19
U.S. Representative,Duncan Hunter,REP,CA,Incumbent,Won-General,980335.63,50
State Representative,Isadore Hall III,DEM,CA,Incumbent,Won-General,975783.45,64
State Senator,Carol Liu,DEM,CA,Incumbent,Won-General,958398.56,25
U.S. Representative,Jackie Speier,DEM,CA,Incumbent,Won-General,951484.95,14
State Senator,Mark Desaulnier,DEM,CA,Incumbent,Won-General,932247.62,7
U.S. Senator,Elizabeth Emken,REP,CA,Challenger,Lost-General,921377.71,nan
U.S. Representative,Doris Matsui,DEM,CA,Incumbent,Won-General,915280.05,6
U.S. Representative,Doug La Malfa,REP,CA,Open,Won-General,913962.58,1
State Representative,Chris Holden,DEM,CA,Open,Won-General,911806.14,41
State Representative,Bill Batey,REP,CA,Open,Lost-General,907310.01,61
U.S. Representative,Michael Honda,DEM,CA,Incumbent,Won-General,890869.54,17
U.S. Representative,Jared Huffman,DEM,CA,Open,Won-General,889611.07,2
State Representative,Nancy Skinner,DEM,CA,Incumbent,Won-General,879815.73,15
