office,candidate,party,state,incumbency,result,total money,district
Governor,Bruce Vincent Rauner,REP,IL,Challenger,Won-General,89219097.47,nan
Governor,Patrick Joseph Quinn III,DEM,IL,Incumbent,Lost-General,33623029.81,nan
U.S. Senator,Richard Durbin,DEM,IL,Incumbent,Won-General,8895221.29,nan
U.S. Representative,Bradley Scott Schneider,DEM,IL,Incumbent,Lost-General,4812137.43,10
Attorney General,Lisa Madigan,DEM,IL,Incumbent,Won-General,4643094.06,nan
U.S. Representative,Robert James Dold Jr.,REP,IL,Incumbent,Won-General,3703576.93,10
State Representative,Michael Madigan,DEM,IL,Incumbent,Won-General,3696045.05,22
U.S. Representative,Peter Roskam,REP,IL,Incumbent,Won-General,3470751.31,6
U.S. Representative,Cheri Callahan Bustos,DEM,IL,Incumbent,Won-General,3277952.88,17
U.S. Representative,Aaron Schock,REP,IL,Incumbent,Won-General,3161992.66,18
U.S. Representative,George William Foster,DEM,IL,Incumbent,Won-General,2845940.22,11
State Senator,John Cullerton,DEM,IL,Incumbent,Won-General,2684573.13,6
U.S. Representative,Ladda Duckworth,DEM,IL,Incumbent,Won-General,2611246.42,8
Treasurer,Michael Frerichs,DEM,IL,Open,Won-General,2446993.77,nan
State Senator,Mike Jacobs,DEM,IL,Incumbent,Lost-General,2412780.68,36
U.S. Senator,James Oberweis,REP,IL,Challenger,Lost-General,2339678.0,nan
Treasurer,Tom Cross,REP,IL,Open,Lost-General,2221620.91,nan
State Representative,James Durkin,REP,IL,Incumbent,Won-General,2208866.38,82
U.S. Representative,Rodney Davis,REP,IL,Incumbent,Won-General,2126599.89,13
U.S. Representative,William Enyart Jr.,DEM,IL,Incumbent,Lost-General,1989902.5,12
U.S. Representative,Ann Elizabeth Callis,DEM,IL,Challenger,Lost-General,1937138.5,13
U.S. Representative,Adam Daniel Kinzinger,REP,IL,Incumbent,Won-General,1921251.07,16
State Senator,Neil Anderson,REP,IL,Challenger,Won-General,1886698.63,36
State Senator,Andy Manar,DEM,IL,Incumbent,Won-General,1704935.97,48
U.S. Representative,Robin Kelly,DEM,IL,Incumbent,Won-General,1515760.95,2
State Representative,William Kilquist,DEM,IL,Open,Lost-General,1423743.33,115
U.S. Representative,Janice Schakowsky,DEM,IL,Incumbent,Won-General,1358628.28,9
Comptroller,Judy Baar Topinka,REP,IL,Incumbent,Won-General,1342481.65,nan
U.S. Representative,Michael Bost,REP,IL,Challenger,Won-General,1314496.65,12
State Representative,Katherine Cloonen,DEM,IL,Incumbent,Won-General,1233522.25,79
U.S. Representative,Randall Mark Hultgren,REP,IL,Incumbent,Won-General,1143623.85,14
U.S. Representative,Robert Todd Schilling,REP,IL,Challenger,Lost-General,1136452.22,17
Comptroller,Sheila Simon,DEM,IL,Challenger,Lost-General,1133143.35,nan
State Representative,Michael Smiddy,DEM,IL,Incumbent,Won-General,1107515.6,71
Secretary Of State,Jesse White,DEM,IL,Incumbent,Won-General,1078099.23,nan
U.S. Representative,John Shimkus,REP,IL,Incumbent,Won-General,1056290.68,15
State Representative,Sam Yingling,DEM,IL,Incumbent,Won-General,1037600.05,62
State Representative,Martin Moylan,DEM,IL,Incumbent,Won-General,1021464.03,55
State Representative,Terri Bryant,REP,IL,Open,Won-General,1011697.77,115
Appellate Court District 001-Open Seat 3,Sheldon Harris,DEM,IL,Incumbent,Won-General,1008846.52,nan
State Representative,Jim Wozniak,REP,IL,Challenger,Lost-General,1008708.08,71
State Representative,Christian Mitchell,DEM,IL,Incumbent,Won-General,1007706.43,26
State Senator,Donald Harmon,DEM,IL,Incumbent,Won-General,1002118.55,39
State Representative,Louis Lang,DEM,IL,Incumbent,Won-General,974885.77,16
U.S. Representative,Michael Quigley,DEM,IL,Incumbent,Won-General,925381.2,5
Appellate Court District 001-Open Seat 4,John Simon,DEM,IL,Incumbent,Won-General,917730.11,nan
State Representative,Sue Scherer,DEM,IL,Incumbent,Won-General,876143.52,96
State Senator,Linda Little,REP,IL,Challenger,Lost-General,869703.25,48
U.S. Representative,Daniel William Lipinski,DEM,IL,Incumbent,Won-General,858339.85,3
State Representative,Carol Sente,DEM,IL,Incumbent,Won-General,849623.86,59
State Senator,Terry Link,DEM,IL,Incumbent,Won-General,824259.81,30
State Representative,Dwight Kay,DEM,IL,Incumbent,Won-General,797982.43,112
State Representative,Jenny Burke,DEM,IL,Open,Lost-General,795099.36,45
