office,candidate,party,state,incumbency,result,total money,district
State Senator,Jose Diaz,REP,FL,Open,Lost-General,2126209.42,40
State Senator,Annette Taddeo,DEM,FL,Open,Won-General,562491.01,40
State Representative,Daniel Anthony Perez,REP,FL,Open,Won-General,336992.08,116
State Representative,Lawrence McClure,REP,FL,Open,Won-General,240984.83,58
State Representative,Robert O) Olszewski,REP,FL,Open,Won-General,173211.0,44
State Representative,Eddy Dominguez,DEM,FL,Open,Lost-General,23397.0,44
State Representative,Ahmad Hussam Saadaldin,NO PARTY AFFILIATION,FL,Open,Lost-General,21868.59,58
State Representative,Bryan Zemina,LIB,FL,Open,Lost-General,12108.42,58
State Representative,Jose Vazquez,DEM,FL,Open,Lost-General,5865.36,58
State Senator,Christian Schlaerth,NO PARTY AFFILIATION,FL,Open,Lost-General,4681.58,40
State Representative,Paul Chandler,DEM,FL,Open,Withdrew-General,3923.26,44
State Representative,Gabriela Mayaudon,DEM,FL,Open,Lost-General,2974.05,116
