,Year,Race,District,Cand 1,Cand 1 Party,Cand 1 Result,Cand 2,Cand 2 Party,Cand 2 Result,Cand 3,Cand 3 Party,Cand 3 Result
0,2016,Senator,0,Harris,DEM,46.0,Sanchez,DEM,25.3,,nan,
1,2016,Senator,0,Harris,DEM,47.0,Sanchez,DEM,27.0,,nan,
2,2016,Senator,0,Harris,DEM,47.0,Sanchez,DEM,23.0,,nan,
3,2016,Senator,0,Harris,DEM,48.0,Sanchez,DEM,31.0,,nan,
4,2016,Senator,0,Harris,DEM,42.0,Sanchez,DEM,20.0,,nan,
5,2014,U.S. Representative,21,Renteria,DEM,42.0,Valadao,REP,47.0,,nan,
6,2014,U.S. Representative,21,Renteria,DEM,37.0,Valadao,REP,56.0,,nan,
7,2014,U.S. Representative,52,DeMaio,REP,45.0,Peters,DEM,44.0,,nan,
8,2014,U.S. Representative,52,DeMaio,REP,46.0,Peters,DEM,45.0,,nan,
9,2014,U.S. Representative,52,DeMaio,REP,48.0,Peters,DEM,45.0,,nan,
10,2014,U.S. Representative,52,DeMaio,REP,46.0,Peters,DEM,47.0,,nan,
11,2014,U.S. Representative,52,DeMaio,REP,51.0,Peters,DEM,44.0,,nan,
12,2012,Senator,0,Emken,REP,35.0,Feinstein,DEM,55.8,,nan,
13,2012,Senator,0,Emken,REP,33.0,Feinstein,DEM,54.0,,nan,
14,2012,Senator,0,Emken,REP,38.0,Feinstein,DEM,55.0,,nan,
15,2012,Senator,0,Emken,REP,34.0,Feinstein,DEM,60.0,,nan,
16,2012,Senator,0,Emken,REP,35.0,Feinstein,DEM,54.0,,nan,
17,2010,Governor,0,Brown,DEM,49.3,Whitman,REP,42.7,,nan,
18,2010,Governor,0,Brown,DEM,51.0,Whitman,REP,46.0,,nan,
19,2010,Governor,0,Brown,DEM,48.0,Whitman,REP,37.0,,nan,
20,2010,Governor,0,Brown,DEM,49.0,Whitman,REP,45.0,,nan,
21,2010,Senator,0,Boxer,DEM,48.3,Fiorina,REP,43.3,,nan,
22,2010,Senator,0,Boxer,DEM,50.0,Fiorina,REP,46.0,,nan,
23,2010,Senator,0,Boxer,DEM,46.0,Fiorina,REP,38.0,,nan,
24,2010,Senator,0,Boxer,DEM,49.0,Fiorina,REP,46.0,,nan,
